날짜,지역명,지표,거래구분,값
2024-06-24,강원,가격지수,매매,101.1179
2024-07-01,강원,가격지수,매매,101.1151
2024-07-08,강원,가격지수,매매,101.1299
2024-07-15,강원,가격지수,매매,101.1183
2024-07-22,강원,가격지수,매매,101.1112
2024-07-29,강원,가격지수,매매,101.0711
2024-08-05,강원,가격지수,매매,101.0581
2024-08-12,강원,가격지수,매매,101.0623
2024-08-19,강원,가격지수,매매,101.0376
2024-08-26,강원,가격지수,매매,101.0692
2024-09-02,강원,가격지수,매매,101.0755
2024-09-09,강원,가격지수,매매,101.0897
2024-09-23,강원,가격지수,매매,101.0822
2024-09-30,강원,가격지수,매매,101.0835
2024-10-07,강원,가격지수,매매,101.0502
2024-10-14,강원,가격지수,매매,101.0345
2024-10-21,강원,가격지수,매매,100.9935
2024-10-28,강원,가격지수,매매,100.9661
2024-11-04,강원,가격지수,매매,100.9773
2024-11-11,강원,가격지수,매매,100.9675
2024-11-18,강원,가격지수,매매,100.9628
2024-11-25,강원,가격지수,매매,100.9641
2024-12-02,강원,가격지수,매매,100.955
2024-12-09,강원,가격지수,매매,100.9315
2024-12-16,강원,가격지수,매매,100.9061
2024-12-23,강원,가격지수,매매,100.9101
2024-12-30,강원,가격지수,매매,100.8757
2025-01-06,강원,가격지수,매매,100.8266
2025-01-13,강원,가격지수,매매,100.8118
2025-01-20,강원,가격지수,매매,100.7975
2025-02-03,강원,가격지수,매매,100.7521
2025-02-10,강원,가격지수,매매,100.7256
2025-02-17,강원,가격지수,매매,100.6943
2025-02-24,강원,가격지수,매매,100.6563
2025-03-03,강원,가격지수,매매,100.6589
2025-03-10,강원,가격지수,매매,100.6659
2025-03-17,강원,가격지수,매매,100.6349
2025-03-24,강원,가격지수,매매,100.6242
2025-03-31,강원,가격지수,매매,100.649
2025-04-07,강원,가격지수,매매,100.6395
2025-04-14,강원,가격지수,매매,100.6038
2025-04-21,강원,가격지수,매매,100.5358
2025-04-28,강원,가격지수,매매,100.4983
2025-05-05,강원,가격지수,매매,100.4267
2025-05-12,강원,가격지수,매매,100.4061
2025-05-19,강원,가격지수,매매,100.3434
2025-05-26,강원,가격지수,매매,100.3023
2025-06-02,강원,가격지수,매매,100.2909
2025-06-09,강원,가격지수,매매,100.2644
2025-06-16,강원,가격지수,매매,100.2547
2025-06-23,강원,가격지수,매매,100.2417
2025-06-30,강원,가격지수,매매,100.2249
2025-07-07,강원,가격지수,매매,100.2062
2025-07-14,강원,가격지수,매매,100.1777
2025-07-21,강원,가격지수,매매,100.1642
2025-07-28,강원,가격지수,매매,100.1592
2025-08-04,강원,가격지수,매매,100.1641
2025-08-11,강원,가격지수,매매,100.1621
2025-08-18,강원,가격지수,매매,100.1344
2025-08-25,강원,가격지수,매매,100.0797
2025-09-01,강원,가격지수,매매,100.0721
2025-09-08,강원,가격지수,매매,100.0685
2025-09-15,강원,가격지수,매매,100.0796
2025-09-22,강원,가격지수,매매,100.0644
2025-09-29,강원,가격지수,매매,100.0836
2025-10-13,강원,가격지수,매매,100.0883
2025-10-20,강원,가격지수,매매,100.0936
2025-10-27,강원,가격지수,매매,100.0775
2025-11-03,강원,가격지수,매매,100.0715
2025-11-10,강원,가격지수,매매,100.0838
2025-11-17,강원,가격지수,매매,100.0583
2025-11-24,강원,가격지수,매매,100.0581
2025-12-01,강원,가격지수,매매,100.0271
2025-12-08,강원,가격지수,매매,100.0384
2025-12-15,강원,가격지수,매매,100.0356
2025-12-22,강원,가격지수,매매,100.0424
2025-12-29,강원,가격지수,매매,100.0329
2026-01-05,강원,가격지수,매매,100.0099
2026-01-12,강원,가격지수,매매,100.0
2026-01-19,강원,가격지수,매매,99.9696
2026-01-26,강원,가격지수,매매,99.9288
2026-02-02,강원,가격지수,매매,99.96
2026-02-09,강원,가격지수,매매,99.9428
2026-02-23,강원,가격지수,매매,99.9822
2026-03-02,강원,가격지수,매매,100.0024
2026-03-09,강원,가격지수,매매,100.0811
2026-03-16,강원,가격지수,매매,100.0517
2026-03-23,강원,가격지수,매매,100.0587
2026-03-30,강원,가격지수,매매,100.059
2026-04-06,강원,가격지수,매매,100.101
2026-04-13,강원,가격지수,매매,100.1641
2026-04-20,강원,가격지수,매매,100.2146
2026-04-27,강원,가격지수,매매,100.2418
2026-05-04,강원,가격지수,매매,100.2454
2026-05-11,강원,가격지수,매매,100.2478
2026-05-18,강원,가격지수,매매,100.2663
2026-05-25,강원,가격지수,매매,100.2138
2026-06-01,강원,가격지수,매매,100.2008
2026-06-08,강원,가격지수,매매,100.2085
2026-06-15,강원,가격지수,매매,100.1682
2026-06-22,강원,가격지수,매매,100.1725
2024-06-24,경기,가격지수,매매,97.6798
2024-07-01,경기,가격지수,매매,97.6918
2024-07-08,경기,가격지수,매매,97.6887
2024-07-15,경기,가격지수,매매,97.7199
2024-07-22,경기,가격지수,매매,97.7566
2024-07-29,경기,가격지수,매매,97.8052
2024-08-05,경기,가격지수,매매,97.837
