날짜,지역명,지표,거래구분,값
2012-05-07,강원,가격지수,매매,93.7436
2012-05-14,강원,가격지수,매매,93.7016
2012-05-21,강원,가격지수,매매,93.6596
2012-05-28,강원,가격지수,매매,93.5783
2012-06-04,강원,가격지수,매매,93.6541
2012-06-11,강원,가격지수,매매,93.7093
2012-06-18,강원,가격지수,매매,93.7174
2012-06-25,강원,가격지수,매매,93.8096
2012-07-02,강원,가격지수,매매,93.8642
2012-07-09,강원,가격지수,매매,93.8885
2012-07-16,강원,가격지수,매매,93.8663
2012-07-23,강원,가격지수,매매,93.8618
2012-07-30,강원,가격지수,매매,93.7943
2012-08-06,강원,가격지수,매매,93.7163
2012-08-13,강원,가격지수,매매,93.6063
2012-08-20,강원,가격지수,매매,93.6152
2012-08-27,강원,가격지수,매매,93.5467
2012-09-03,강원,가격지수,매매,93.5172
2012-09-10,강원,가격지수,매매,93.5658
2012-09-17,강원,가격지수,매매,93.4193
2012-09-24,강원,가격지수,매매,93.4023
2012-10-01,강원,가격지수,매매,93.3175
2012-10-08,강원,가격지수,매매,93.3318
2012-10-15,강원,가격지수,매매,93.3666
2012-10-22,강원,가격지수,매매,93.3957
2012-10-29,강원,가격지수,매매,93.4361
2012-11-05,강원,가격지수,매매,93.3809
2012-11-12,강원,가격지수,매매,93.3353
2012-11-19,강원,가격지수,매매,93.2661
2012-11-26,강원,가격지수,매매,93.1961
2012-12-03,강원,가격지수,매매,93.0548
2012-12-10,강원,가격지수,매매,93.0897
2012-12-17,강원,가격지수,매매,93.1102
2012-12-24,강원,가격지수,매매,93.0768
2012-12-31,강원,가격지수,매매,92.9962
2013-01-07,강원,가격지수,매매,92.9233
2013-01-14,강원,가격지수,매매,92.846
2013-01-21,강원,가격지수,매매,92.884
2013-01-28,강원,가격지수,매매,92.7307
2013-02-04,강원,가격지수,매매,92.6535
2013-02-11,강원,가격지수,매매,92.5849
2013-02-18,강원,가격지수,매매,92.6075
2013-02-25,강원,가격지수,매매,92.5777
2013-03-04,강원,가격지수,매매,92.559
2013-03-11,강원,가격지수,매매,92.3661
2013-03-18,강원,가격지수,매매,92.2587
2013-03-25,강원,가격지수,매매,92.1771
2013-04-01,강원,가격지수,매매,92.28
2013-04-08,강원,가격지수,매매,92.396
2013-04-15,강원,가격지수,매매,92.5513
2013-04-22,강원,가격지수,매매,92.6398
2013-04-29,강원,가격지수,매매,92.7693
2013-05-06,강원,가격지수,매매,92.857
2013-05-13,강원,가격지수,매매,92.8993
2013-05-20,강원,가격지수,매매,92.9288
2013-05-27,강원,가격지수,매매,92.9057
2013-06-03,강원,가격지수,매매,92.8187
2013-06-10,강원,가격지수,매매,92.7036
2013-06-17,강원,가격지수,매매,92.7015
2013-06-24,강원,가격지수,매매,92.684
2013-07-01,강원,가격지수,매매,92.614
2013-07-08,강원,가격지수,매매,92.6164
2013-07-15,강원,가격지수,매매,92.5165
2013-07-22,강원,가격지수,매매,92.3529
2013-07-29,강원,가격지수,매매,92.2841
2013-08-05,강원,가격지수,매매,92.2642
2013-08-12,강원,가격지수,매매,92.257
2013-08-19,강원,가격지수,매매,92.1484
2013-08-26,강원,가격지수,매매,92.1045
2013-09-02,강원,가격지수,매매,92.0928
