날짜,시도,시군구,지표,거래구분,값
2024-06-24,부산,강서구,가격지수,매매,105.9088
2024-07-01,부산,강서구,가격지수,매매,105.8844
2024-07-08,부산,강서구,가격지수,매매,105.7742
2024-07-15,부산,강서구,가격지수,매매,105.674
2024-07-22,부산,강서구,가격지수,매매,105.6852
2024-07-29,부산,강서구,가격지수,매매,105.6513
2024-08-05,부산,강서구,가격지수,매매,105.4564
2024-08-12,부산,강서구,가격지수,매매,105.4468
2024-08-19,부산,강서구,가격지수,매매,105.432
2024-08-26,부산,강서구,가격지수,매매,105.3099
2024-09-02,부산,강서구,가격지수,매매,105.2503
2024-09-09,부산,강서구,가격지수,매매,105.2212
2024-09-23,부산,강서구,가격지수,매매,105.1743
2024-09-30,부산,강서구,가격지수,매매,105.1607
2024-10-07,부산,강서구,가격지수,매매,105.1536
2024-10-14,부산,강서구,가격지수,매매,105.1255
2024-10-21,부산,강서구,가격지수,매매,105.1114
2024-10-28,부산,강서구,가격지수,매매,104.9806
2024-11-04,부산,강서구,가격지수,매매,104.9505
2024-11-11,부산,강서구,가격지수,매매,104.9318
2024-11-18,부산,강서구,가격지수,매매,104.924
2024-11-25,부산,강서구,가격지수,매매,104.9271
2024-12-02,부산,강서구,가격지수,매매,104.8393
2024-12-09,부산,강서구,가격지수,매매,104.7696
2024-12-16,부산,강서구,가격지수,매매,104.7304
2024-12-23,부산,강서구,가격지수,매매,104.7128
2024-12-30,부산,강서구,가격지수,매매,104.6903
2025-01-06,부산,강서구,가격지수,매매,104.6784
2025-01-13,부산,강서구,가격지수,매매,104.5858
2025-01-20,부산,강서구,가격지수,매매,104.2388
2025-02-03,부산,강서구,가격지수,매매,104.191
2025-02-10,부산,강서구,가격지수,매매,104.0095
2025-02-17,부산,강서구,가격지수,매매,103.7774
2025-02-24,부산,강서구,가격지수,매매,103.5508
2025-03-03,부산,강서구,가격지수,매매,103.5165
2025-03-10,부산,강서구,가격지수,매매,103.4358
2025-03-17,부산,강서구,가격지수,매매,103.4246
2025-03-24,부산,강서구,가격지수,매매,103.3916
2025-03-31,부산,강서구,가격지수,매매,103.3754
2025-04-07,부산,강서구,가격지수,매매,103.3379
2025-04-14,부산,강서구,가격지수,매매,103.3009
2025-04-21,부산,강서구,가격지수,매매,103.1221
2025-04-28,부산,강서구,가격지수,매매,103.1176
2025-05-05,부산,강서구,가격지수,매매,103.1176
2025-05-12,부산,강서구,가격지수,매매,103.0833
2025-05-19,부산,강서구,가격지수,매매,103.0697
2025-05-26,부산,강서구,가격지수,매매,103.0373
2025-06-02,부산,강서구,가격지수,매매,103.0377
2025-06-09,부산,강서구,가격지수,매매,102.8874
