날짜,시도,시군구,지표,거래구분,값
2024-06-24,충북,괴산군,가격지수,매매,96.9615
2024-07-01,충북,괴산군,가격지수,매매,96.9615
2024-07-08,충북,괴산군,가격지수,매매,96.9615
2024-07-15,충북,괴산군,가격지수,매매,96.9615
2024-07-22,충북,괴산군,가격지수,매매,96.9615
2024-07-29,충북,괴산군,가격지수,매매,96.9615
2024-08-05,충북,괴산군,가격지수,매매,96.9615
2024-08-12,충북,괴산군,가격지수,매매,96.9615
2024-08-19,충북,괴산군,가격지수,매매,96.9615
2024-08-26,충북,괴산군,가격지수,매매,96.9615
2024-09-02,충북,괴산군,가격지수,매매,96.9615
2024-09-09,충북,괴산군,가격지수,매매,96.9615
2024-09-23,충북,괴산군,가격지수,매매,96.9615
2024-09-30,충북,괴산군,가격지수,매매,96.9615
2024-10-07,충북,괴산군,가격지수,매매,96.9615
2024-10-14,충북,괴산군,가격지수,매매,96.9615
2024-10-21,충북,괴산군,가격지수,매매,96.9615
2024-10-28,충북,괴산군,가격지수,매매,96.9615
2024-11-04,충북,괴산군,가격지수,매매,96.9615
2024-11-11,충북,괴산군,가격지수,매매,96.9615
2024-11-18,충북,괴산군,가격지수,매매,95.5893
2024-11-25,충북,괴산군,가격지수,매매,95.5893
2024-12-02,충북,괴산군,가격지수,매매,95.5893
2024-12-09,충북,괴산군,가격지수,매매,95.5893
2024-12-16,충북,괴산군,가격지수,매매,95.5893
2024-12-23,충북,괴산군,가격지수,매매,95.5893
2024-12-30,충북,괴산군,가격지수,매매,95.5893
2025-01-06,충북,괴산군,가격지수,매매,95.5893
2025-01-13,충북,괴산군,가격지수,매매,95.5893
2025-01-20,충북,괴산군,가격지수,매매,95.5893
2025-02-03,충북,괴산군,가격지수,매매,95.5893
2025-02-10,충북,괴산군,가격지수,매매,95.5893
2025-02-17,충북,괴산군,가격지수,매매,95.5893
2025-02-24,충북,괴산군,가격지수,매매,95.5893
2025-03-03,충북,괴산군,가격지수,매매,95.5893
2025-03-10,충북,괴산군,가격지수,매매,95.5893
2025-03-17,충북,괴산군,가격지수,매매,95.5893
2025-03-24,충북,괴산군,가격지수,매매,95.5893
2025-03-31,충북,괴산군,가격지수,매매,95.5893
2025-04-07,충북,괴산군,가격지수,매매,95.5893
2025-04-14,충북,괴산군,가격지수,매매,95.5893
2025-04-21,충북,괴산군,가격지수,매매,95.5893
2025-04-28,충북,괴산군,가격지수,매매,95.5893
2025-05-05,충북,괴산군,가격지수,매매,95.5893
2025-05-12,충북,괴산군,가격지수,매매,97.9093
2025-05-19,충북,괴산군,가격지수,매매,97.9093
2025-05-26,충북,괴산군,가격지수,매매,97.9093
2025-06-02,충북,괴산군,가격지수,매매,97.9093
2025-06-09,충북,괴산군,가격지수,매매,97.9093
2025-06-16,충북,괴산군,가격지수,매매,97.9093
2025-06-23,충북,괴산군,가격지수,매매,97.9093
2025-06-30,충북,괴산군,가격지수,매매,97.9093
2025-07-07,충북,괴산군,가격지수,매매,97.9093
