날짜,시도,시군구,지표,거래구분,값
2024-06-24,충남,계룡시,가격지수,매매,99.6561
2024-07-01,충남,계룡시,가격지수,매매,99.8453
2024-07-08,충남,계룡시,가격지수,매매,99.8697
2024-07-15,충남,계룡시,가격지수,매매,99.8697
2024-07-22,충남,계룡시,가격지수,매매,99.9589
2024-07-29,충남,계룡시,가격지수,매매,100.1171
2024-08-05,충남,계룡시,가격지수,매매,100.3974
2024-08-12,충남,계룡시,가격지수,매매,100.5098
2024-08-19,충남,계룡시,가격지수,매매,100.5746
2024-08-26,충남,계룡시,가격지수,매매,100.5835
2024-09-02,충남,계룡시,가격지수,매매,100.6269
2024-09-09,충남,계룡시,가격지수,매매,100.6723
2024-09-23,충남,계룡시,가격지수,매매,100.7495
2024-09-30,충남,계룡시,가격지수,매매,100.7495
2024-10-07,충남,계룡시,가격지수,매매,100.7982
2024-10-14,충남,계룡시,가격지수,매매,100.8627
2024-10-21,충남,계룡시,가격지수,매매,100.844
2024-10-28,충남,계룡시,가격지수,매매,100.7999
2024-11-04,충남,계룡시,가격지수,매매,100.8091
2024-11-11,충남,계룡시,가격지수,매매,100.758
2024-11-18,충남,계룡시,가격지수,매매,100.7281
2024-11-25,충남,계룡시,가격지수,매매,100.6799
2024-12-02,충남,계룡시,가격지수,매매,100.6518
2024-12-09,충남,계룡시,가격지수,매매,100.6131
2024-12-16,충남,계룡시,가격지수,매매,100.5848
2024-12-23,충남,계룡시,가격지수,매매,100.5499
2024-12-30,충남,계룡시,가격지수,매매,100.5499
2025-01-06,충남,계룡시,가격지수,매매,100.5499
2025-01-13,충남,계룡시,가격지수,매매,100.3748
2025-01-20,충남,계룡시,가격지수,매매,100.3748
2025-02-03,충남,계룡시,가격지수,매매,100.0206
2025-02-10,충남,계룡시,가격지수,매매,100.0358
2025-02-17,충남,계룡시,가격지수,매매,100.0358
2025-02-24,충남,계룡시,가격지수,매매,100.0358
2025-03-03,충남,계룡시,가격지수,매매,100.0358
2025-03-10,충남,계룡시,가격지수,매매,100.0182
2025-03-17,충남,계룡시,가격지수,매매,99.9913
2025-03-24,충남,계룡시,가격지수,매매,99.9843
2025-03-31,충남,계룡시,가격지수,매매,99.9737
2025-04-07,충남,계룡시,가격지수,매매,99.9737
2025-04-14,충남,계룡시,가격지수,매매,99.9438
2025-04-21,충남,계룡시,가격지수,매매,99.8928
2025-04-28,충남,계룡시,가격지수,매매,99.8928
2025-05-05,충남,계룡시,가격지수,매매,99.8928
2025-05-12,충남,계룡시,가격지수,매매,99.8928
2025-05-19,충남,계룡시,가격지수,매매,99.7784
2025-05-26,충남,계룡시,가격지수,매매,99.7784
2025-06-02,충남,계룡시,가격지수,매매,99.7315
2025-06-09,충남,계룡시,가격지수,매매,99.6891
2025-06-16,충남,계룡시,가격지수,매매,99.6891
2025-06-23,충남,계룡시,가격지수,매매,99.6891
2025-06-30,충남,계룡시,가격지수,매매,99.7417
2025-07-07,충남,계룡시,가격지수,매매,99.7645
2025-07-14,충남,계룡시,가격지수,매매,99.7682
2025-07-21,충남,계룡시,가격지수,매매,99.7682
2025-07-28,충남,계룡시,가격지수,매매,99.8159
2025-08-04,충남,계룡시,가격지수,매매,99.8159
2025-08-11,충남,계룡시,가격지수,매매,99.8928
2025-08-18,충남,계룡시,가격지수,매매,99.8928
2025-08-25,충남,계룡시,가격지수,매매,99.8928
2025-09-01,충남,계룡시,가격지수,매매,99.8928
2025-09-08,충남,계룡시,가격지수,매매,99.8928
2025-09-15,충남,계룡시,가격지수,매매,99.9456
2025-09-22,충남,계룡시,가격지수,매매,99.9467
2025-09-29,충남,계룡시,가격지수,매매,100.1177
2025-10-13,충남,계룡시,가격지수,매매,100.1101
2025-10-20,충남,계룡시,가격지수,매매,100.1101
2025-10-27,충남,계룡시,가격지수,매매,100.0844
2025-11-03,충남,계룡시,가격지수,매매,100.0769
2025-11-10,충남,계룡시,가격지수,매매,100.0655
2025-11-17,충남,계룡시,가격지수,매매,100.02
2025-11-24,충남,계룡시,가격지수,매매,100.02
2025-12-01,충남,계룡시,가격지수,매매,100.02
2025-12-08,충남,계룡시,가격지수,매매,100.02
2025-12-15,충남,계룡시,가격지수,매매,99.9966
2025-12-22,충남,계룡시,가격지수,매매,100.0219
2025-12-29,충남,계룡시,가격지수,매매,100.0
2026-01-05,충남,계룡시,가격지수,매매,100.0
2026-01-12,충남,계룡시,가격지수,매매,100.0
