날짜,시도,시군구,지표,거래구분,값
2026-03-09,대구,군위군,가격지수,매매,100.0808
2026-03-16,대구,군위군,가격지수,매매,100.0808
2026-03-23,대구,군위군,가격지수,매매,100.0808
2026-03-30,대구,군위군,가격지수,매매,100.0808
2026-04-06,대구,군위군,가격지수,매매,100.0808
2026-04-13,대구,군위군,가격지수,매매,100.0808
2026-04-20,대구,군위군,가격지수,매매,100.0808
2026-04-27,대구,군위군,가격지수,매매,100.0808
2026-05-04,대구,군위군,가격지수,매매,100.0808
2026-05-11,대구,군위군,가격지수,매매,100.0808
2026-05-18,대구,군위군,가격지수,매매,100.0808
2026-05-25,대구,군위군,가격지수,매매,100.0808
2026-06-01,대구,군위군,가격지수,매매,100.0808
2026-06-08,대구,군위군,가격지수,매매,100.0808
2026-06-15,대구,군위군,가격지수,매매,100.0808
2026-06-22,대구,군위군,가격지수,매매,100.0808
2024-06-24,대구,남구,가격지수,매매,104.7961
2024-07-01,대구,남구,가격지수,매매,104.5593
2024-07-08,대구,남구,가격지수,매매,104.1713
2024-07-15,대구,남구,가격지수,매매,103.9006
2024-07-22,대구,남구,가격지수,매매,103.8103
2024-07-29,대구,남구,가격지수,매매,103.7242
2024-08-05,대구,남구,가격지수,매매,103.6739
2024-08-12,대구,남구,가격지수,매매,103.6149
2024-08-19,대구,남구,가격지수,매매,103.5694
2024-08-26,대구,남구,가격지수,매매,103.4719
2024-09-02,대구,남구,가격지수,매매,103.4164
2024-09-09,대구,남구,가격지수,매매,103.3949
2024-09-23,대구,남구,가격지수,매매,103.3355
2024-09-30,대구,남구,가격지수,매매,103.3065
2024-10-07,대구,남구,가격지수,매매,103.3065
2024-10-14,대구,남구,가격지수,매매,103.2575
2024-10-21,대구,남구,가격지수,매매,103.0348
2024-10-28,대구,남구,가격지수,매매,102.9248
2024-11-04,대구,남구,가격지수,매매,102.8576
2024-11-11,대구,남구,가격지수,매매,102.7358
2024-11-18,대구,남구,가격지수,매매,102.7121
2024-11-25,대구,남구,가격지수,매매,102.6805
2024-12-02,대구,남구,가격지수,매매,102.6073
2024-12-09,대구,남구,가격지수,매매,102.6408
2024-12-16,대구,남구,가격지수,매매,102.4828
2024-12-23,대구,남구,가격지수,매매,102.2964
2024-12-30,대구,남구,가격지수,매매,102.2235
2025-01-06,대구,남구,가격지수,매매,102.1754
2025-01-13,대구,남구,가격지수,매매,102.0004
2025-01-20,대구,남구,가격지수,매매,101.9028
2025-02-03,대구,남구,가격지수,매매,101.8633
2025-02-10,대구,남구,가격지수,매매,101.8015
2025-02-17,대구,남구,가격지수,매매,101.7358
2025-02-24,대구,남구,가격지수,매매,101.7224
2025-03-03,대구,남구,가격지수,매매,101.645
