날짜,시도,시군구,지표,거래구분,값
2024-06-24,대전,대덕구,가격지수,매매,102.5545
2024-07-01,대전,대덕구,가격지수,매매,102.5528
2024-07-08,대전,대덕구,가격지수,매매,102.5515
2024-07-15,대전,대덕구,가격지수,매매,102.535
2024-07-22,대전,대덕구,가격지수,매매,102.3428
2024-07-29,대전,대덕구,가격지수,매매,102.3322
2024-08-05,대전,대덕구,가격지수,매매,102.2404
2024-08-12,대전,대덕구,가격지수,매매,102.2404
2024-08-19,대전,대덕구,가격지수,매매,102.2345
2024-08-26,대전,대덕구,가격지수,매매,102.2047
2024-09-02,대전,대덕구,가격지수,매매,102.1708
2024-09-09,대전,대덕구,가격지수,매매,102.1786
2024-09-23,대전,대덕구,가격지수,매매,102.2041
2024-09-30,대전,대덕구,가격지수,매매,102.259
2024-10-07,대전,대덕구,가격지수,매매,102.25
2024-10-14,대전,대덕구,가격지수,매매,102.2366
2024-10-21,대전,대덕구,가격지수,매매,102.1421
2024-10-28,대전,대덕구,가격지수,매매,102.0334
2024-11-04,대전,대덕구,가격지수,매매,101.9745
2024-11-11,대전,대덕구,가격지수,매매,102.0068
2024-11-18,대전,대덕구,가격지수,매매,102.0104
2024-11-25,대전,대덕구,가격지수,매매,101.9682
2024-12-02,대전,대덕구,가격지수,매매,101.7239
2024-12-09,대전,대덕구,가격지수,매매,101.4422
2024-12-16,대전,대덕구,가격지수,매매,101.3814
2024-12-23,대전,대덕구,가격지수,매매,101.3884
2024-12-30,대전,대덕구,가격지수,매매,101.3763
2025-01-06,대전,대덕구,가격지수,매매,101.3622
2025-01-13,대전,대덕구,가격지수,매매,101.3591
2025-01-20,대전,대덕구,가격지수,매매,101.3564
2025-02-03,대전,대덕구,가격지수,매매,101.3456
2025-02-10,대전,대덕구,가격지수,매매,101.3176
2025-02-17,대전,대덕구,가격지수,매매,101.3005
2025-02-24,대전,대덕구,가격지수,매매,101.2866
2025-03-03,대전,대덕구,가격지수,매매,101.2822
2025-03-10,대전,대덕구,가격지수,매매,101.2742
2025-03-17,대전,대덕구,가격지수,매매,101.2741
2025-03-24,대전,대덕구,가격지수,매매,101.2483
2025-03-31,대전,대덕구,가격지수,매매,101.2445
2025-04-07,대전,대덕구,가격지수,매매,101.1624
2025-04-14,대전,대덕구,가격지수,매매,101.1442
2025-04-21,대전,대덕구,가격지수,매매,101.1253
2025-04-28,대전,대덕구,가격지수,매매,101.0697
2025-05-05,대전,대덕구,가격지수,매매,101.0663
2025-05-12,대전,대덕구,가격지수,매매,100.9811
2025-05-19,대전,대덕구,가격지수,매매,100.8898
2025-05-26,대전,대덕구,가격지수,매매,100.8586
2025-06-02,대전,대덕구,가격지수,매매,100.8496
2025-06-09,대전,대덕구,가격지수,매매,100.8496
2025-06-16,대전,대덕구,가격지수,매매,100.8411
2025-06-23,대전,대덕구,가격지수,매매,100.8304
2025-06-30,대전,대덕구,가격지수,매매,100.7954
2025-07-07,대전,대덕구,가격지수,매매,100.7949
2025-07-14,대전,대덕구,가격지수,매매,100.7247
2025-07-21,대전,대덕구,가격지수,매매,100.7307
2025-07-28,대전,대덕구,가격지수,매매,100.7328
2025-08-04,대전,대덕구,가격지수,매매,100.7179
2025-08-11,대전,대덕구,가격지수,매매,100.6879
2025-08-18,대전,대덕구,가격지수,매매,100.6335
2025-08-25,대전,대덕구,가격지수,매매,100.6305
