날짜,시도,시군구,지표,거래구분,값
2024-06-24,강원,강릉시,가격지수,매매,105.588
2024-07-01,강원,강릉시,가격지수,매매,105.4904
2024-07-08,강원,강릉시,가격지수,매매,105.4404
2024-07-15,강원,강릉시,가격지수,매매,105.4237
2024-07-22,강원,강릉시,가격지수,매매,105.3758
2024-07-29,강원,강릉시,가격지수,매매,105.1655
2024-08-05,강원,강릉시,가격지수,매매,105.1348
2024-08-12,강원,강릉시,가격지수,매매,105.0376
2024-08-19,강원,강릉시,가격지수,매매,104.8911
2024-08-26,강원,강릉시,가격지수,매매,104.8751
2024-09-02,강원,강릉시,가격지수,매매,104.8296
2024-09-09,강원,강릉시,가격지수,매매,104.8007
2024-09-23,강원,강릉시,가격지수,매매,104.6941
2024-09-30,강원,강릉시,가격지수,매매,104.6917
2024-10-07,강원,강릉시,가격지수,매매,104.6219
2024-10-14,강원,강릉시,가격지수,매매,104.5436
2024-10-21,강원,강릉시,가격지수,매매,104.3856
2024-10-28,강원,강릉시,가격지수,매매,104.2789
2024-11-04,강원,강릉시,가격지수,매매,104.1884
2024-11-11,강원,강릉시,가격지수,매매,104.1046
2024-11-18,강원,강릉시,가격지수,매매,104.0392
2024-11-25,강원,강릉시,가격지수,매매,103.9996
2024-12-02,강원,강릉시,가격지수,매매,103.9274
2024-12-09,강원,강릉시,가격지수,매매,103.7838
2024-12-16,강원,강릉시,가격지수,매매,103.4887
2024-12-23,강원,강릉시,가격지수,매매,103.4315
2024-12-30,강원,강릉시,가격지수,매매,103.2779
2025-01-06,강원,강릉시,가격지수,매매,103.2352
2025-01-13,강원,강릉시,가격지수,매매,103.1313
2025-01-20,강원,강릉시,가격지수,매매,103.0878
2025-02-03,강원,강릉시,가격지수,매매,103.0053
2025-02-10,강원,강릉시,가격지수,매매,103.0003
2025-02-17,강원,강릉시,가격지수,매매,103.0029
2025-02-24,강원,강릉시,가격지수,매매,102.9668
2025-03-03,강원,강릉시,가격지수,매매,102.9635
2025-03-10,강원,강릉시,가격지수,매매,102.8928
2025-03-17,강원,강릉시,가격지수,매매,102.7672
2025-03-24,강원,강릉시,가격지수,매매,102.7672
2025-03-31,강원,강릉시,가격지수,매매,102.7248
2025-04-07,강원,강릉시,가격지수,매매,102.7211
2025-04-14,강원,강릉시,가격지수,매매,102.685
2025-04-21,강원,강릉시,가격지수,매매,102.5019
2025-04-28,강원,강릉시,가격지수,매매,102.4745
2025-05-05,강원,강릉시,가격지수,매매,102.258
2025-05-12,강원,강릉시,가격지수,매매,102.1448
2025-05-19,강원,강릉시,가격지수,매매,101.9084
2025-05-26,강원,강릉시,가격지수,매매,101.8311
2025-06-02,강원,강릉시,가격지수,매매,101.7987
2025-06-09,강원,강릉시,가격지수,매매,101.7895
2025-06-16,강원,강릉시,가격지수,매매,101.7181
2025-06-23,강원,강릉시,가격지수,매매,101.7167
2025-06-30,강원,강릉시,가격지수,매매,101.5748
2025-07-07,강원,강릉시,가격지수,매매,101.549
2025-07-14,강원,강릉시,가격지수,매매,101.3477
2025-07-21,강원,강릉시,가격지수,매매,101.2284
2025-07-28,강원,강릉시,가격지수,매매,101.1641
2025-08-04,강원,강릉시,가격지수,매매,101.1798
2025-08-11,강원,강릉시,가격지수,매매,101.1212
2025-08-18,강원,강릉시,가격지수,매매,100.9665
2025-08-25,강원,강릉시,가격지수,매매,100.6945
2025-09-01,강원,강릉시,가격지수,매매,100.6017
2025-09-08,강원,강릉시,가격지수,매매,100.5699
2025-09-15,강원,강릉시,가격지수,매매,100.5545
2025-09-22,강원,강릉시,가격지수,매매,100.4852
2025-09-29,강원,강릉시,가격지수,매매,100.4747
2025-10-13,강원,강릉시,가격지수,매매,100.4747
2025-10-20,강원,강릉시,가격지수,매매,100.3184
2025-10-27,강원,강릉시,가격지수,매매,100.2333
2025-11-03,강원,강릉시,가격지수,매매,100.2137
2025-11-10,강원,강릉시,가격지수,매매,100.2134
2025-11-17,강원,강릉시,가격지수,매매,100.2009
2025-11-24,강원,강릉시,가격지수,매매,100.189
2025-12-01,강원,강릉시,가격지수,매매,100.1032
2025-12-08,강원,강릉시,가격지수,매매,100.1268
2025-12-15,강원,강릉시,가격지수,매매,100.0763
2025-12-22,강원,강릉시,가격지수,매매,100.0734
2025-12-29,강원,강릉시,가격지수,매매,100.0474
2026-01-05,강원,강릉시,가격지수,매매,100.0361
2026-01-12,강원,강릉시,가격지수,매매,100.0
2026-01-19,강원,강릉시,가격지수,매매,99.9456
2026-01-26,강원,강릉시,가격지수,매매,99.8649
2026-02-02,강원,강릉시,가격지수,매매,99.8149
2026-02-09,강원,강릉시,가격지수,매매,99.7505
2026-02-23,강원,강릉시,가격지수,매매,99.7137
2026-03-02,강원,강릉시,가격지수,매매,99.6983
2026-03-09,강원,강릉시,가격지수,매매,99.637
2026-03-16,강원,강릉시,가격지수,매매,99.628
2026-03-23,강원,강릉시,가격지수,매매,99.6231
2026-03-30,강원,강릉시,가격지수,매매,99.5683
2026-04-06,강원,강릉시,가격지수,매매,99.6972
2026-04-13,강원,강릉시,가격지수,매매,99.707
2026-04-20,강원,강릉시,가격지수,매매,99.7321
2026-04-27,강원,강릉시,가격지수,매매,99.7592
2026-05-04,강원,강릉시,가격지수,매매,99.7626
2026-05-11,강원,강릉시,가격지수,매매,99.7735
2026-05-18,강원,강릉시,가격지수,매매,99.7625
2026-05-25,강원,강릉시,가격지수,매매,99.758
2026-06-01,강원,강릉시,가격지수,매매,99.7672
2026-06-08,강원,강릉시,가격지수,매매,99.7689
2026-06-15,강원,강릉시,가격지수,매매,99.798
2026-06-22,강원,강릉시,가격지수,매매,99.8427
2024-06-24,강원,고성군,가격지수,매매,102.1396
2024-07-01,강원,고성군,가격지수,매매,101.787
2024-07-08,강원,고성군,가격지수,매매,101.787
2024-07-15,강원,고성군,가격지수,매매,101.787
2024-07-22,강원,고성군,가격지수,매매,101.6807
2024-07-29,강원,고성군,가격지수,매매,101.5913
2024-08-05,강원,고성군,가격지수,매매,101.4852
2024-08-12,강원,고성군,가격지수,매매,101.4852
2024-08-19,강원,고성군,가격지수,매매,101.4852
2024-08-26,강원,고성군,가격지수,매매,101.4852
2024-09-02,강원,고성군,가격지수,매매,101.4852
2024-09-09,강원,고성군,가격지수,매매,101.4852
2024-09-23,강원,고성군,가격지수,매매,101.4852
2024-09-30,강원,고성군,가격지수,매매,101.4852
2024-10-07,강원,고성군,가격지수,매매,101.4852
2024-10-14,강원,고성군,가격지수,매매,101.4852
2024-10-21,강원,고성군,가격지수,매매,101.3246
2024-10-28,강원,고성군,가격지수,매매,101.3246
2024-11-04,강원,고성군,가격지수,매매,101.3246
2024-11-11,강원,고성군,가격지수,매매,101.3246
2024-11-18,강원,고성군,가격지수,매매,101.3246
2024-11-25,강원,고성군,가격지수,매매,101.3246
2024-12-02,강원,고성군,가격지수,매매,101.3246
2024-12-09,강원,고성군,가격지수,매매,101.3246
2024-12-16,강원,고성군,가격지수,매매,101.3246
2024-12-23,강원,고성군,가격지수,매매,101.3246
2024-12-30,강원,고성군,가격지수,매매,101.3246
2025-01-06,강원,고성군,가격지수,매매,101.3246
2025-01-13,강원,고성군,가격지수,매매,100.8824
2025-01-20,강원,고성군,가격지수,매매,100.8335
2025-02-03,강원,고성군,가격지수,매매,100.8671
2025-02-10,강원,고성군,가격지수,매매,100.8671
2025-02-17,강원,고성군,가격지수,매매,100.8671
2025-02-24,강원,고성군,가격지수,매매,100.0944
2025-03-03,강원,고성군,가격지수,매매,99.4969
2025-03-10,강원,고성군,가격지수,매매,100.7475
2025-03-17,강원,고성군,가격지수,매매,101.1302
2025-03-24,강원,고성군,가격지수,매매,101.1302
2025-03-31,강원,고성군,가격지수,매매,100.9794
2025-04-07,강원,고성군,가격지수,매매,100.9794
2025-04-14,강원,고성군,가격지수,매매,100.9794
2025-04-21,강원,고성군,가격지수,매매,100.9794
2025-04-28,강원,고성군,가격지수,매매,100.5302
2025-05-05,강원,고성군,가격지수,매매,100.1922
2025-05-12,강원,고성군,가격지수,매매,100.1922
