날짜,시도,시군구,지표,거래구분,값
2024-06-24,광주,광산구,가격지수,매매,104.0349
2024-07-01,광주,광산구,가격지수,매매,104.0019
2024-07-08,광주,광산구,가격지수,매매,103.8897
2024-07-15,광주,광산구,가격지수,매매,103.7968
2024-07-22,광주,광산구,가격지수,매매,103.6816
2024-07-29,광주,광산구,가격지수,매매,103.5802
2024-08-05,광주,광산구,가격지수,매매,103.3941
2024-08-12,광주,광산구,가격지수,매매,103.2996
2024-08-19,광주,광산구,가격지수,매매,103.2859
2024-08-26,광주,광산구,가격지수,매매,103.2096
2024-09-02,광주,광산구,가격지수,매매,103.2004
2024-09-09,광주,광산구,가격지수,매매,103.1376
2024-09-23,광주,광산구,가격지수,매매,103.0582
2024-09-30,광주,광산구,가격지수,매매,103.0106
2024-10-07,광주,광산구,가격지수,매매,102.9874
2024-10-14,광주,광산구,가격지수,매매,102.9116
2024-10-21,광주,광산구,가격지수,매매,102.8426
2024-10-28,광주,광산구,가격지수,매매,102.7918
2024-11-04,광주,광산구,가격지수,매매,102.6809
2024-11-11,광주,광산구,가격지수,매매,102.6284
2024-11-18,광주,광산구,가격지수,매매,102.5592
2024-11-25,광주,광산구,가격지수,매매,102.5163
2024-12-02,광주,광산구,가격지수,매매,102.3699
2024-12-09,광주,광산구,가격지수,매매,102.2371
2024-12-16,광주,광산구,가격지수,매매,102.0923
2024-12-23,광주,광산구,가격지수,매매,101.9586
2024-12-30,광주,광산구,가격지수,매매,101.9178
2025-01-06,광주,광산구,가격지수,매매,101.8983
2025-01-13,광주,광산구,가격지수,매매,101.8675
2025-01-20,광주,광산구,가격지수,매매,101.814
2025-02-03,광주,광산구,가격지수,매매,101.7425
2025-02-10,광주,광산구,가격지수,매매,101.7415
2025-02-17,광주,광산구,가격지수,매매,101.741
2025-02-24,광주,광산구,가격지수,매매,101.6022
2025-03-03,광주,광산구,가격지수,매매,101.5397
2025-03-10,광주,광산구,가격지수,매매,101.5187
2025-03-17,광주,광산구,가격지수,매매,101.4984
2025-03-24,광주,광산구,가격지수,매매,101.4641
2025-03-31,광주,광산구,가격지수,매매,101.3867
2025-04-07,광주,광산구,가격지수,매매,101.2701
2025-04-14,광주,광산구,가격지수,매매,101.0897
2025-04-21,광주,광산구,가격지수,매매,101.0917
2025-04-28,광주,광산구,가격지수,매매,101.0356
2025-05-05,광주,광산구,가격지수,매매,100.9677
