날짜,시도,시군구,지표,거래구분,값
2024-06-24,경북,경산시,가격지수,매매,105.2965
2024-07-01,경북,경산시,가격지수,매매,105.2364
2024-07-08,경북,경산시,가격지수,매매,105.1483
2024-07-15,경북,경산시,가격지수,매매,105.1281
2024-07-22,경북,경산시,가격지수,매매,105.0262
2024-07-29,경북,경산시,가격지수,매매,104.949
2024-08-05,경북,경산시,가격지수,매매,104.8705
2024-08-12,경북,경산시,가격지수,매매,104.8432
2024-08-19,경북,경산시,가격지수,매매,104.7179
2024-08-26,경북,경산시,가격지수,매매,104.7179
2024-09-02,경북,경산시,가격지수,매매,104.6266
2024-09-09,경북,경산시,가격지수,매매,104.5907
2024-09-23,경북,경산시,가격지수,매매,104.4291
2024-09-30,경북,경산시,가격지수,매매,104.4282
2024-10-07,경북,경산시,가격지수,매매,104.4343
2024-10-14,경북,경산시,가격지수,매매,104.3025
2024-10-21,경북,경산시,가격지수,매매,104.2104
2024-10-28,경북,경산시,가격지수,매매,104.0689
2024-11-04,경북,경산시,가격지수,매매,104.0452
2024-11-11,경북,경산시,가격지수,매매,104.0219
2024-11-18,경북,경산시,가격지수,매매,103.9914
2024-11-25,경북,경산시,가격지수,매매,103.8275
2024-12-02,경북,경산시,가격지수,매매,103.5684
2024-12-09,경북,경산시,가격지수,매매,103.4113
2024-12-16,경북,경산시,가격지수,매매,103.2863
2024-12-23,경북,경산시,가격지수,매매,103.2121
2024-12-30,경북,경산시,가격지수,매매,102.9838
2025-01-06,경북,경산시,가격지수,매매,102.89
2025-01-13,경북,경산시,가격지수,매매,102.6341
2025-01-20,경북,경산시,가격지수,매매,102.5985
2025-02-03,경북,경산시,가격지수,매매,102.3982
2025-02-10,경북,경산시,가격지수,매매,102.2657
2025-02-17,경북,경산시,가격지수,매매,102.0986
2025-02-24,경북,경산시,가격지수,매매,101.8495
2025-03-03,경북,경산시,가격지수,매매,101.7563
2025-03-10,경북,경산시,가격지수,매매,101.7125
2025-03-17,경북,경산시,가격지수,매매,101.6246
2025-03-24,경북,경산시,가격지수,매매,101.5771
2025-03-31,경북,경산시,가격지수,매매,101.4883
2025-04-07,경북,경산시,가격지수,매매,101.3952
2025-04-14,경북,경산시,가격지수,매매,101.3571
2025-04-21,경북,경산시,가격지수,매매,101.2907
2025-04-28,경북,경산시,가격지수,매매,101.2411
2025-05-05,경북,경산시,가격지수,매매,101.2412
2025-05-12,경북,경산시,가격지수,매매,101.1089
2025-05-19,경북,경산시,가격지수,매매,101.0367
2025-05-26,경북,경산시,가격지수,매매,100.9881
2025-06-02,경북,경산시,가격지수,매매,100.976
2025-06-09,경북,경산시,가격지수,매매,100.8333
2025-06-16,경북,경산시,가격지수,매매,100.7224
2025-06-23,경북,경산시,가격지수,매매,100.689
2025-06-30,경북,경산시,가격지수,매매,100.6422
2025-07-07,경북,경산시,가격지수,매매,100.6284
2025-07-14,경북,경산시,가격지수,매매,100.6243
2025-07-21,경북,경산시,가격지수,매매,100.5669
2025-07-28,경북,경산시,가격지수,매매,100.4914
2025-08-04,경북,경산시,가격지수,매매,100.461
2025-08-11,경북,경산시,가격지수,매매,100.4511
2025-08-18,경북,경산시,가격지수,매매,100.4393
2025-08-25,경북,경산시,가격지수,매매,100.4535
2025-09-01,경북,경산시,가격지수,매매,100.466
2025-09-08,경북,경산시,가격지수,매매,100.4742
2025-09-15,경북,경산시,가격지수,매매,100.4297
2025-09-22,경북,경산시,가격지수,매매,100.3539
2025-09-29,경북,경산시,가격지수,매매,100.3474
2025-10-13,경북,경산시,가격지수,매매,100.3572
2025-10-20,경북,경산시,가격지수,매매,100.3276
2025-10-27,경북,경산시,가격지수,매매,100.3485
2025-11-03,경북,경산시,가격지수,매매,100.365
2025-11-10,경북,경산시,가격지수,매매,100.3634
2025-11-17,경북,경산시,가격지수,매매,100.2492
2025-11-24,경북,경산시,가격지수,매매,100.1237
2025-12-01,경북,경산시,가격지수,매매,100.0287
2025-12-08,경북,경산시,가격지수,매매,99.9593
2025-12-15,경북,경산시,가격지수,매매,99.9522
2025-12-22,경북,경산시,가격지수,매매,99.9549
2025-12-29,경북,경산시,가격지수,매매,99.9976
2026-01-05,경북,경산시,가격지수,매매,100.0
2026-01-12,경북,경산시,가격지수,매매,100.0
2026-01-19,경북,경산시,가격지수,매매,99.9568
2026-01-26,경북,경산시,가격지수,매매,99.9564
