날짜,시도,시군구,지표,거래구분,값
2024-06-24,경기,가평군,가격지수,매매,101.8271
2024-07-01,경기,가평군,가격지수,매매,101.8271
2024-07-08,경기,가평군,가격지수,매매,101.8271
2024-07-15,경기,가평군,가격지수,매매,101.8271
2024-07-22,경기,가평군,가격지수,매매,101.3301
2024-07-29,경기,가평군,가격지수,매매,101.0243
2024-08-05,경기,가평군,가격지수,매매,101.0328
2024-08-12,경기,가평군,가격지수,매매,101.0328
2024-08-19,경기,가평군,가격지수,매매,101.0328
2024-08-26,경기,가평군,가격지수,매매,101.0328
2024-09-02,경기,가평군,가격지수,매매,101.0328
2024-09-09,경기,가평군,가격지수,매매,100.9896
2024-09-23,경기,가평군,가격지수,매매,100.9896
2024-09-30,경기,가평군,가격지수,매매,100.9896
2024-10-07,경기,가평군,가격지수,매매,100.9896
2024-10-14,경기,가평군,가격지수,매매,100.9896
2024-10-21,경기,가평군,가격지수,매매,100.7559
2024-10-28,경기,가평군,가격지수,매매,100.7559
2024-11-04,경기,가평군,가격지수,매매,100.7559
2024-11-11,경기,가평군,가격지수,매매,100.7559
2024-11-18,경기,가평군,가격지수,매매,100.7795
2024-11-25,경기,가평군,가격지수,매매,100.9612
2024-12-02,경기,가평군,가격지수,매매,100.9612
2024-12-09,경기,가평군,가격지수,매매,100.9612
2024-12-16,경기,가평군,가격지수,매매,100.9612
2024-12-23,경기,가평군,가격지수,매매,100.7204
2024-12-30,경기,가평군,가격지수,매매,100.7204
2025-01-06,경기,가평군,가격지수,매매,100.7204
2025-01-13,경기,가평군,가격지수,매매,100.7204
2025-01-20,경기,가평군,가격지수,매매,100.7204
2025-02-03,경기,가평군,가격지수,매매,100.7204
2025-02-10,경기,가평군,가격지수,매매,100.7969
2025-02-17,경기,가평군,가격지수,매매,100.8139
2025-02-24,경기,가평군,가격지수,매매,100.8139
2025-03-03,경기,가평군,가격지수,매매,100.8139
2025-03-10,경기,가평군,가격지수,매매,100.8139
2025-03-17,경기,가평군,가격지수,매매,100.8139
2025-03-24,경기,가평군,가격지수,매매,100.489
2025-03-31,경기,가평군,가격지수,매매,100.489
2025-04-07,경기,가평군,가격지수,매매,100.184
2025-04-14,경기,가평군,가격지수,매매,100.184
2025-04-21,경기,가평군,가격지수,매매,100.184
2025-04-28,경기,가평군,가격지수,매매,100.184
2025-05-05,경기,가평군,가격지수,매매,100.184
2025-05-12,경기,가평군,가격지수,매매,100.184
2025-05-19,경기,가평군,가격지수,매매,100.184
2025-05-26,경기,가평군,가격지수,매매,100.184
2025-06-02,경기,가평군,가격지수,매매,100.184
2025-06-09,경기,가평군,가격지수,매매,100.184
2025-06-16,경기,가평군,가격지수,매매,99.8166
2025-06-23,경기,가평군,가격지수,매매,99.8166
2025-06-30,경기,가평군,가격지수,매매,100.2859
2025-07-07,경기,가평군,가격지수,매매,100.4078
2025-07-14,경기,가평군,가격지수,매매,100.3509
2025-07-21,경기,가평군,가격지수,매매,100.0286
2025-07-28,경기,가평군,가격지수,매매,100.0286
2025-08-04,경기,가평군,가격지수,매매,99.6457
2025-08-11,경기,가평군,가격지수,매매,99.5983
2025-08-18,경기,가평군,가격지수,매매,99.6149
2025-08-25,경기,가평군,가격지수,매매,99.5456
2025-09-01,경기,가평군,가격지수,매매,99.6817
2025-09-08,경기,가평군,가격지수,매매,99.6817
2025-09-15,경기,가평군,가격지수,매매,99.6817
2025-09-22,경기,가평군,가격지수,매매,99.7981
2025-09-29,경기,가평군,가격지수,매매,99.6216
2025-10-13,경기,가평군,가격지수,매매,99.9262
2025-10-20,경기,가평군,가격지수,매매,100.023
2025-10-27,경기,가평군,가격지수,매매,100.159
2025-11-03,경기,가평군,가격지수,매매,100.159
2025-11-10,경기,가평군,가격지수,매매,100.1758
2025-11-17,경기,가평군,가격지수,매매,100.1758
2025-11-24,경기,가평군,가격지수,매매,99.9489
2025-12-01,경기,가평군,가격지수,매매,99.9251
2025-12-08,경기,가평군,가격지수,매매,100.0416
2025-12-15,경기,가평군,가격지수,매매,100.0416
2025-12-22,경기,가평군,가격지수,매매,100.0416
2025-12-29,경기,가평군,가격지수,매매,100.0835
2026-01-05,경기,가평군,가격지수,매매,100.0835
2026-01-12,경기,가평군,가격지수,매매,100.0
2026-01-19,경기,가평군,가격지수,매매,100.0
2026-01-26,경기,가평군,가격지수,매매,100.0
2026-02-02,경기,가평군,가격지수,매매,100.0
2026-02-09,경기,가평군,가격지수,매매,100.0
2026-02-23,경기,가평군,가격지수,매매,100.0
2026-03-02,경기,가평군,가격지수,매매,100.0184
2026-03-09,경기,가평군,가격지수,매매,100.0446
2026-03-16,경기,가평군,가격지수,매매,100.0446
2026-03-23,경기,가평군,가격지수,매매,100.1486
2026-03-30,경기,가평군,가격지수,매매,100.1729
2026-04-06,경기,가평군,가격지수,매매,100.1729
2026-04-13,경기,가평군,가격지수,매매,100.272
2026-04-20,경기,가평군,가격지수,매매,100.2933
2026-04-27,경기,가평군,가격지수,매매,100.1576
2026-05-04,경기,가평군,가격지수,매매,100.1912
2026-05-11,경기,가평군,가격지수,매매,100.1912
2026-05-18,경기,가평군,가격지수,매매,100.2582
2026-05-25,경기,가평군,가격지수,매매,100.2582
2026-06-01,경기,가평군,가격지수,매매,100.2582
2026-06-08,경기,가평군,가격지수,매매,100.2998
2026-06-15,경기,가평군,가격지수,매매,100.3162
2026-06-22,경기,가평군,가격지수,매매,100.3162
2024-06-24,경기,고양시,가격지수,매매,101.2784
2024-07-01,경기,고양시,가격지수,매매,101.2491
2024-07-08,경기,고양시,가격지수,매매,101.1942
2024-07-15,경기,고양시,가격지수,매매,101.1858
2024-07-22,경기,고양시,가격지수,매매,101.1792
2024-07-29,경기,고양시,가격지수,매매,101.2155
2024-08-05,경기,고양시,가격지수,매매,101.221
