날짜,시도,시군구,지표,거래구분,값
2024-06-24,경남,거제시,가격지수,매매,111.5305
2024-07-01,경남,거제시,가격지수,매매,111.4892
2024-07-08,경남,거제시,가격지수,매매,111.0362
2024-07-15,경남,거제시,가격지수,매매,110.8517
2024-07-22,경남,거제시,가격지수,매매,110.6561
2024-07-29,경남,거제시,가격지수,매매,110.4657
2024-08-05,경남,거제시,가격지수,매매,110.0264
2024-08-12,경남,거제시,가격지수,매매,109.951
2024-08-19,경남,거제시,가격지수,매매,109.848
2024-08-26,경남,거제시,가격지수,매매,109.7169
2024-09-02,경남,거제시,가격지수,매매,109.5791
2024-09-09,경남,거제시,가격지수,매매,109.4818
2024-09-23,경남,거제시,가격지수,매매,109.462
2024-09-30,경남,거제시,가격지수,매매,109.467
2024-10-07,경남,거제시,가격지수,매매,109.4317
2024-10-14,경남,거제시,가격지수,매매,109.3709
2024-10-21,경남,거제시,가격지수,매매,109.2169
2024-10-28,경남,거제시,가격지수,매매,109.2042
2024-11-04,경남,거제시,가격지수,매매,109.1114
2024-11-11,경남,거제시,가격지수,매매,108.9504
2024-11-18,경남,거제시,가격지수,매매,108.8199
2024-11-25,경남,거제시,가격지수,매매,108.5759
2024-12-02,경남,거제시,가격지수,매매,108.1206
2024-12-09,경남,거제시,가격지수,매매,108.0769
2024-12-16,경남,거제시,가격지수,매매,107.9767
2024-12-23,경남,거제시,가격지수,매매,107.8589
2024-12-30,경남,거제시,가격지수,매매,107.5891
2025-01-06,경남,거제시,가격지수,매매,107.5618
2025-01-13,경남,거제시,가격지수,매매,107.13
2025-01-20,경남,거제시,가격지수,매매,106.7817
2025-02-03,경남,거제시,가격지수,매매,106.4528
2025-02-10,경남,거제시,가격지수,매매,106.4223
2025-02-17,경남,거제시,가격지수,매매,106.2176
2025-02-24,경남,거제시,가격지수,매매,105.8463
2025-03-03,경남,거제시,가격지수,매매,105.8107
2025-03-10,경남,거제시,가격지수,매매,105.7399
2025-03-17,경남,거제시,가격지수,매매,105.6344
2025-03-24,경남,거제시,가격지수,매매,105.5565
2025-03-31,경남,거제시,가격지수,매매,105.4571
2025-04-07,경남,거제시,가격지수,매매,105.3265
2025-04-14,경남,거제시,가격지수,매매,105.2106
2025-04-21,경남,거제시,가격지수,매매,104.8044
2025-04-28,경남,거제시,가격지수,매매,104.3089
2025-05-05,경남,거제시,가격지수,매매,103.8232
2025-05-12,경남,거제시,가격지수,매매,103.5503
2025-05-19,경남,거제시,가격지수,매매,103.0538
2025-05-26,경남,거제시,가격지수,매매,102.8179
2025-06-02,경남,거제시,가격지수,매매,102.8139
2025-06-09,경남,거제시,가격지수,매매,102.8089
2025-06-16,경남,거제시,가격지수,매매,102.7085
2025-06-23,경남,거제시,가격지수,매매,102.6353
2025-06-30,경남,거제시,가격지수,매매,102.5488
2025-07-07,경남,거제시,가격지수,매매,102.3913
2025-07-14,경남,거제시,가격지수,매매,102.285
2025-07-21,경남,거제시,가격지수,매매,102.2753
2025-07-28,경남,거제시,가격지수,매매,101.9562
2025-08-04,경남,거제시,가격지수,매매,101.904
2025-08-11,경남,거제시,가격지수,매매,101.8255
2025-08-18,경남,거제시,가격지수,매매,101.7047
2025-08-25,경남,거제시,가격지수,매매,101.6183
2025-09-01,경남,거제시,가격지수,매매,101.5089
2025-09-08,경남,거제시,가격지수,매매,101.44
2025-09-15,경남,거제시,가격지수,매매,101.4085
2025-09-22,경남,거제시,가격지수,매매,101.3838
2025-09-29,경남,거제시,가격지수,매매,101.2923
2025-10-13,경남,거제시,가격지수,매매,101.1476
2025-10-20,경남,거제시,가격지수,매매,100.947
2025-10-27,경남,거제시,가격지수,매매,100.8804
2025-11-03,경남,거제시,가격지수,매매,100.716
2025-11-10,경남,거제시,가격지수,매매,100.6039
2025-11-17,경남,거제시,가격지수,매매,100.5439
2025-11-24,경남,거제시,가격지수,매매,100.4731
2025-12-01,경남,거제시,가격지수,매매,100.4436
2025-12-08,경남,거제시,가격지수,매매,100.4365
2025-12-15,경남,거제시,가격지수,매매,100.3836
2025-12-22,경남,거제시,가격지수,매매,100.2232
2025-12-29,경남,거제시,가격지수,매매,100.2032
2026-01-05,경남,거제시,가격지수,매매,100.0551
2026-01-12,경남,거제시,가격지수,매매,100.0
2026-01-19,경남,거제시,가격지수,매매,99.8719
2026-01-26,경남,거제시,가격지수,매매,99.5808
2026-02-02,경남,거제시,가격지수,매매,99.3253
2026-02-09,경남,거제시,가격지수,매매,99.1496
2026-02-23,경남,거제시,가격지수,매매,98.8914
2026-03-02,경남,거제시,가격지수,매매,98.7945
2026-03-09,경남,거제시,가격지수,매매,98.6602
2026-03-16,경남,거제시,가격지수,매매,98.6017
2026-03-23,경남,거제시,가격지수,매매,98.4426
2026-03-30,경남,거제시,가격지수,매매,98.3793
2026-04-06,경남,거제시,가격지수,매매,98.3478
2026-04-13,경남,거제시,가격지수,매매,98.3016
2026-04-20,경남,거제시,가격지수,매매,98.2848
2026-04-27,경남,거제시,가격지수,매매,98.2169
2026-05-04,경남,거제시,가격지수,매매,98.1664
2026-05-11,경남,거제시,가격지수,매매,98.0146
2026-05-18,경남,거제시,가격지수,매매,97.87
2026-05-25,경남,거제시,가격지수,매매,97.7457
2026-06-01,경남,거제시,가격지수,매매,97.7417
2026-06-08,경남,거제시,가격지수,매매,97.5574
2026-06-15,경남,거제시,가격지수,매매,97.4673
2026-06-22,경남,거제시,가격지수,매매,97.3164
2024-06-24,경남,거창군,가격지수,매매,107.4702
2024-07-01,경남,거창군,가격지수,매매,107.4702
2024-07-08,경남,거창군,가격지수,매매,107.3735
2024-07-15,경남,거창군,가격지수,매매,107.3735
2024-07-22,경남,거창군,가격지수,매매,106.943
2024-07-29,경남,거창군,가격지수,매매,106.943
2024-08-05,경남,거창군,가격지수,매매,106.943
2024-08-12,경남,거창군,가격지수,매매,106.943
2024-08-19,경남,거창군,가격지수,매매,106.943
2024-08-26,경남,거창군,가격지수,매매,106.3992
2024-09-02,경남,거창군,가격지수,매매,106.2279
2024-09-09,경남,거창군,가격지수,매매,106.2279
2024-09-23,경남,거창군,가격지수,매매,106.2279
2024-09-30,경남,거창군,가격지수,매매,106.2279
2024-10-07,경남,거창군,가격지수,매매,106.2279
2024-10-14,경남,거창군,가격지수,매매,106.2279
2024-10-21,경남,거창군,가격지수,매매,106.1353
2024-10-28,경남,거창군,가격지수,매매,106.1353
2024-11-04,경남,거창군,가격지수,매매,105.9613
2024-11-11,경남,거창군,가격지수,매매,105.9613
2024-11-18,경남,거창군,가격지수,매매,105.8897
2024-11-25,경남,거창군,가격지수,매매,105.8555
2024-12-02,경남,거창군,가격지수,매매,105.8555
2024-12-09,경남,거창군,가격지수,매매,105.8555
2024-12-16,경남,거창군,가격지수,매매,105.8555
2024-12-23,경남,거창군,가격지수,매매,105.8555
2024-12-30,경남,거창군,가격지수,매매,105.7524
2025-01-06,경남,거창군,가격지수,매매,105.7524
2025-01-13,경남,거창군,가격지수,매매,105.7524
2025-01-20,경남,거창군,가격지수,매매,105.7524
2025-02-03,경남,거창군,가격지수,매매,105.0874
2025-02-10,경남,거창군,가격지수,매매,104.6227
2025-02-17,경남,거창군,가격지수,매매,104.3828
2025-02-24,경남,거창군,가격지수,매매,104.0329
2025-03-03,경남,거창군,가격지수,매매,104.0329
2025-03-10,경남,거창군,가격지수,매매,103.7072
2025-03-17,경남,거창군,가격지수,매매,103.5902
2025-03-24,경남,거창군,가격지수,매매,103.5902
2025-03-31,경남,거창군,가격지수,매매,102.9671
2025-04-07,경남,거창군,가격지수,매매,102.9671
2025-04-14,경남,거창군,가격지수,매매,102.9671
2025-04-21,경남,거창군,가격지수,매매,102.2108
2025-04-28,경남,거창군,가격지수,매매,101.8505
2025-05-05,경남,거창군,가격지수,매매,101.4764
2025-05-12,경남,거창군,가격지수,매매,101.3639
