날짜,시도,시군구,지표,거래구분,값
2024-06-24,인천,강화군,가격지수,매매,103.966
2024-07-01,인천,강화군,가격지수,매매,103.966
2024-07-08,인천,강화군,가격지수,매매,103.966
2024-07-15,인천,강화군,가격지수,매매,103.966
2024-07-22,인천,강화군,가격지수,매매,103.966
2024-07-29,인천,강화군,가격지수,매매,103.966
2024-08-05,인천,강화군,가격지수,매매,103.966
2024-08-12,인천,강화군,가격지수,매매,103.966
2024-08-19,인천,강화군,가격지수,매매,103.966
2024-08-26,인천,강화군,가격지수,매매,103.966
2024-09-02,인천,강화군,가격지수,매매,103.966
2024-09-09,인천,강화군,가격지수,매매,103.966
2024-09-23,인천,강화군,가격지수,매매,103.966
2024-09-30,인천,강화군,가격지수,매매,103.966
2024-10-07,인천,강화군,가격지수,매매,103.966
2024-10-14,인천,강화군,가격지수,매매,103.966
2024-10-21,인천,강화군,가격지수,매매,103.966
2024-10-28,인천,강화군,가격지수,매매,103.966
2024-11-04,인천,강화군,가격지수,매매,103.966
2024-11-11,인천,강화군,가격지수,매매,103.966
2024-11-18,인천,강화군,가격지수,매매,103.966
2024-11-25,인천,강화군,가격지수,매매,103.966
2024-12-02,인천,강화군,가격지수,매매,103.966
2024-12-09,인천,강화군,가격지수,매매,103.966
2024-12-16,인천,강화군,가격지수,매매,103.966
2024-12-23,인천,강화군,가격지수,매매,103.966
2024-12-30,인천,강화군,가격지수,매매,103.966
2025-01-06,인천,강화군,가격지수,매매,103.966
2025-01-13,인천,강화군,가격지수,매매,103.9434
2025-01-20,인천,강화군,가격지수,매매,103.9434
2025-02-03,인천,강화군,가격지수,매매,103.9434
2025-02-10,인천,강화군,가격지수,매매,103.9434
2025-02-17,인천,강화군,가격지수,매매,101.797
2025-02-24,인천,강화군,가격지수,매매,101.8482
2025-03-03,인천,강화군,가격지수,매매,101.9955
2025-03-10,인천,강화군,가격지수,매매,101.9497
2025-03-17,인천,강화군,가격지수,매매,101.924
2025-03-24,인천,강화군,가격지수,매매,101.924
2025-03-31,인천,강화군,가격지수,매매,101.924
2025-04-07,인천,강화군,가격지수,매매,101.8784
2025-04-14,인천,강화군,가격지수,매매,101.8784
2025-04-21,인천,강화군,가격지수,매매,100.3957
2025-04-28,인천,강화군,가격지수,매매,100.3957
2025-05-05,인천,강화군,가격지수,매매,100.3957
2025-05-12,인천,강화군,가격지수,매매,99.8831
2025-05-19,인천,강화군,가격지수,매매,99.8831
2025-05-26,인천,강화군,가격지수,매매,99.8888
