날짜,시도,시군구,지표,거래구분,값
2024-06-24,제주,서귀포시,가격지수,매매,102.7353
2024-07-01,제주,서귀포시,가격지수,매매,102.7353
2024-07-08,제주,서귀포시,가격지수,매매,102.7353
2024-07-15,제주,서귀포시,가격지수,매매,102.739
2024-07-22,제주,서귀포시,가격지수,매매,102.739
2024-07-29,제주,서귀포시,가격지수,매매,102.739
2024-08-05,제주,서귀포시,가격지수,매매,102.739
2024-08-12,제주,서귀포시,가격지수,매매,102.7306
2024-08-19,제주,서귀포시,가격지수,매매,102.7869
2024-08-26,제주,서귀포시,가격지수,매매,102.7869
2024-09-02,제주,서귀포시,가격지수,매매,102.82
2024-09-09,제주,서귀포시,가격지수,매매,102.8151
2024-09-23,제주,서귀포시,가격지수,매매,102.7309
2024-09-30,제주,서귀포시,가격지수,매매,102.7309
2024-10-07,제주,서귀포시,가격지수,매매,102.7309
2024-10-14,제주,서귀포시,가격지수,매매,102.7238
2024-10-21,제주,서귀포시,가격지수,매매,102.7238
2024-10-28,제주,서귀포시,가격지수,매매,102.7238
2024-11-04,제주,서귀포시,가격지수,매매,102.7739
2024-11-11,제주,서귀포시,가격지수,매매,102.8236
2024-11-18,제주,서귀포시,가격지수,매매,102.8236
2024-11-25,제주,서귀포시,가격지수,매매,102.8236
2024-12-02,제주,서귀포시,가격지수,매매,102.8236
2024-12-09,제주,서귀포시,가격지수,매매,102.7636
2024-12-16,제주,서귀포시,가격지수,매매,102.7617
2024-12-23,제주,서귀포시,가격지수,매매,102.7617
2024-12-30,제주,서귀포시,가격지수,매매,102.7703
2025-01-06,제주,서귀포시,가격지수,매매,102.7703
2025-01-13,제주,서귀포시,가격지수,매매,102.6757
2025-01-20,제주,서귀포시,가격지수,매매,102.43
2025-02-03,제주,서귀포시,가격지수,매매,102.3083
2025-02-10,제주,서귀포시,가격지수,매매,102.3083
2025-02-17,제주,서귀포시,가격지수,매매,102.3083
2025-02-24,제주,서귀포시,가격지수,매매,102.0544
2025-03-03,제주,서귀포시,가격지수,매매,101.9657
2025-03-10,제주,서귀포시,가격지수,매매,102.0002
2025-03-17,제주,서귀포시,가격지수,매매,102.0002
2025-03-24,제주,서귀포시,가격지수,매매,101.6743
2025-03-31,제주,서귀포시,가격지수,매매,101.6743
2025-04-07,제주,서귀포시,가격지수,매매,101.6491
2025-04-14,제주,서귀포시,가격지수,매매,101.5567
2025-04-21,제주,서귀포시,가격지수,매매,101.2905
2025-04-28,제주,서귀포시,가격지수,매매,101.2775
2025-05-05,제주,서귀포시,가격지수,매매,101.2775
2025-05-12,제주,서귀포시,가격지수,매매,101.284
2025-05-19,제주,서귀포시,가격지수,매매,101.284
2025-05-26,제주,서귀포시,가격지수,매매,101.2666
2025-06-02,제주,서귀포시,가격지수,매매,101.1213
2025-06-09,제주,서귀포시,가격지수,매매,100.8419
2025-06-16,제주,서귀포시,가격지수,매매,100.5974
2025-06-23,제주,서귀포시,가격지수,매매,100.4702
2025-06-30,제주,서귀포시,가격지수,매매,100.4655
2025-07-07,제주,서귀포시,가격지수,매매,100.4655
2025-07-14,제주,서귀포시,가격지수,매매,100.4655
2025-07-21,제주,서귀포시,가격지수,매매,100.4655
2025-07-28,제주,서귀포시,가격지수,매매,100.4655
2025-08-04,제주,서귀포시,가격지수,매매,100.4318
2025-08-11,제주,서귀포시,가격지수,매매,100.4318
2025-08-18,제주,서귀포시,가격지수,매매,100.4318
2025-08-25,제주,서귀포시,가격지수,매매,100.2737
2025-09-01,제주,서귀포시,가격지수,매매,100.2737
