날짜,시도,시군구,지표,거래구분,값
2024-06-24,전북,고창군,가격지수,매매,98.914
2024-07-01,전북,고창군,가격지수,매매,98.914
2024-07-08,전북,고창군,가격지수,매매,99.8165
2024-07-15,전북,고창군,가격지수,매매,99.8165
2024-07-22,전북,고창군,가격지수,매매,99.8165
2024-07-29,전북,고창군,가격지수,매매,99.8165
2024-08-05,전북,고창군,가격지수,매매,99.8165
2024-08-12,전북,고창군,가격지수,매매,99.8165
2024-08-19,전북,고창군,가격지수,매매,99.8165
2024-08-26,전북,고창군,가격지수,매매,99.8165
2024-09-02,전북,고창군,가격지수,매매,99.6681
2024-09-09,전북,고창군,가격지수,매매,99.6681
2024-09-23,전북,고창군,가격지수,매매,100.1746
2024-09-30,전북,고창군,가격지수,매매,100.1746
2024-10-07,전북,고창군,가격지수,매매,100.1746
2024-10-14,전북,고창군,가격지수,매매,100.4933
2024-10-21,전북,고창군,가격지수,매매,100.5883
2024-10-28,전북,고창군,가격지수,매매,100.7374
2024-11-04,전북,고창군,가격지수,매매,100.8194
2024-11-11,전북,고창군,가격지수,매매,100.9009
2024-11-18,전북,고창군,가격지수,매매,100.9701
2024-11-25,전북,고창군,가격지수,매매,100.9983
2024-12-02,전북,고창군,가격지수,매매,101.1084
2024-12-09,전북,고창군,가격지수,매매,101.1084
2024-12-16,전북,고창군,가격지수,매매,101.1084
2024-12-23,전북,고창군,가격지수,매매,101.1084
2024-12-30,전북,고창군,가격지수,매매,101.1084
2025-01-06,전북,고창군,가격지수,매매,101.1084
2025-01-13,전북,고창군,가격지수,매매,101.1084
2025-01-20,전북,고창군,가격지수,매매,101.1084
2025-02-03,전북,고창군,가격지수,매매,101.1084
2025-02-10,전북,고창군,가격지수,매매,101.1084
2025-02-17,전북,고창군,가격지수,매매,101.1084
2025-02-24,전북,고창군,가격지수,매매,101.1084
2025-03-03,전북,고창군,가격지수,매매,101.1084
2025-03-10,전북,고창군,가격지수,매매,101.1084
2025-03-17,전북,고창군,가격지수,매매,101.1084
2025-03-24,전북,고창군,가격지수,매매,101.2334
2025-03-31,전북,고창군,가격지수,매매,101.2334
2025-04-07,전북,고창군,가격지수,매매,101.2334
2025-04-14,전북,고창군,가격지수,매매,101.2334
2025-04-21,전북,고창군,가격지수,매매,101.2334
2025-04-28,전북,고창군,가격지수,매매,101.2334
2025-05-05,전북,고창군,가격지수,매매,101.2334
2025-05-12,전북,고창군,가격지수,매매,101.2334
2025-05-19,전북,고창군,가격지수,매매,101.2334
2025-05-26,전북,고창군,가격지수,매매,101.2334
2025-06-02,전북,고창군,가격지수,매매,101.2334
2025-06-09,전북,고창군,가격지수,매매,101.2334
2025-06-16,전북,고창군,가격지수,매매,100.7082
2025-06-23,전북,고창군,가격지수,매매,100.7082
