날짜,시도,시군구,지표,거래구분,값
2024-06-24,세종,세종시,가격지수,매매,99.0191
2024-07-01,세종,세종시,가격지수,매매,98.9281
2024-07-08,세종,세종시,가격지수,매매,98.7298
2024-07-15,세종,세종시,가격지수,매매,98.6333
2024-07-22,세종,세종시,가격지수,매매,98.4119
2024-07-29,세종,세종시,가격지수,매매,98.2674
2024-08-05,세종,세종시,가격지수,매매,98.2137
2024-08-12,세종,세종시,가격지수,매매,98.1512
2024-08-19,세종,세종시,가격지수,매매,98.0267
2024-08-26,세종,세종시,가격지수,매매,97.9527
2024-09-02,세종,세종시,가격지수,매매,97.9137
2024-09-09,세종,세종시,가격지수,매매,97.8585
2024-09-23,세종,세종시,가격지수,매매,97.8521
2024-09-30,세종,세종시,가격지수,매매,97.8416
2024-10-07,세종,세종시,가격지수,매매,97.7876
2024-10-14,세종,세종시,가격지수,매매,97.7345
2024-10-21,세종,세종시,가격지수,매매,97.6791
2024-10-28,세종,세종시,가격지수,매매,97.5809
2024-11-04,세종,세종시,가격지수,매매,97.5615
2024-11-11,세종,세종시,가격지수,매매,97.5599
2024-11-18,세종,세종시,가격지수,매매,97.5324
2024-11-25,세종,세종시,가격지수,매매,97.4816
2024-12-02,세종,세종시,가격지수,매매,97.4107
2024-12-09,세종,세종시,가격지수,매매,97.3755
2024-12-16,세종,세종시,가격지수,매매,97.1896
2024-12-23,세종,세종시,가격지수,매매,97.0476
2024-12-30,세종,세종시,가격지수,매매,97.0259
2025-01-06,세종,세종시,가격지수,매매,96.8928
2025-01-13,세종,세종시,가격지수,매매,96.8467
2025-01-20,세종,세종시,가격지수,매매,96.7537
2025-02-03,세종,세종시,가격지수,매매,96.7291
2025-02-10,세종,세종시,가격지수,매매,96.5865
2025-02-17,세종,세종시,가격지수,매매,96.4547
2025-02-24,세종,세종시,가격지수,매매,96.3262
2025-03-03,세종,세종시,가격지수,매매,96.2692
2025-03-10,세종,세종시,가격지수,매매,96.1981
2025-03-17,세종,세종시,가격지수,매매,96.1438
2025-03-24,세종,세종시,가격지수,매매,96.103
2025-03-31,세종,세종시,가격지수,매매,96.1027
2025-04-07,세종,세종시,가격지수,매매,96.0819
2025-04-14,세종,세종시,가격지수,매매,96.1151
2025-04-21,세종,세종시,가격지수,매매,96.3322
2025-04-28,세종,세종시,가격지수,매매,96.8133
2025-05-05,세종,세종시,가격지수,매매,97.0255
2025-05-12,세종,세종시,가격지수,매매,97.4644
2025-05-19,세종,세종시,가격지수,매매,97.8285
2025-05-26,세종,세종시,가격지수,매매,97.9898
2025-06-02,세종,세종시,가격지수,매매,98.1259
2025-06-09,세종,세종시,가격지수,매매,98.2678
2025-06-16,세종,세종시,가격지수,매매,98.386
2025-06-23,세종,세종시,가격지수,매매,98.5192
2025-06-30,세종,세종시,가격지수,매매,98.5902
2025-07-07,세종,세종시,가격지수,매매,98.6754
2025-07-14,세종,세종시,가격지수,매매,98.7483
2025-07-21,세종,세종시,가격지수,매매,98.7757
2025-07-28,세종,세종시,가격지수,매매,98.8641
2025-08-04,세종,세종시,가격지수,매매,98.9004
2025-08-11,세종,세종시,가격지수,매매,98.9273
2025-08-18,세종,세종시,가격지수,매매,99.0021
2025-08-25,세종,세종시,가격지수,매매,99.0612
2025-09-01,세종,세종시,가격지수,매매,99.177
2025-09-08,세종,세종시,가격지수,매매,99.1851
2025-09-15,세종,세종시,가격지수,매매,99.2237
2025-09-22,세종,세종시,가격지수,매매,99.2581
