날짜,시도,시군구,지표,거래구분,값
2024-06-24,서울,강남구,가격지수,매매,76.8066
2024-07-01,서울,강남구,가격지수,매매,76.9987
2024-07-08,서울,강남구,가격지수,매매,77.1697
2024-07-15,서울,강남구,가격지수,매매,77.3549
2024-07-22,서울,강남구,가격지수,매매,77.5628
2024-07-29,서울,강남구,가격지수,매매,77.8619
2024-08-05,서울,강남구,가격지수,매매,78.1969
2024-08-12,서울,강남구,가격지수,매매,78.5863
2024-08-19,서울,강남구,가격지수,매매,79.069
2024-08-26,서울,강남구,가격지수,매매,79.3801
2024-09-02,서울,강남구,가격지수,매매,79.6861
2024-09-09,서울,강남구,가격지수,매매,79.938
2024-09-23,서울,강남구,가격지수,매매,80.3417
2024-09-30,서울,강남구,가격지수,매매,80.4862
2024-10-07,서울,강남구,가격지수,매매,80.7043
2024-10-14,서울,강남구,가격지수,매매,80.8881
2024-10-21,서울,강남구,가격지수,매매,80.9996
2024-10-28,서울,강남구,가격지수,매매,81.0893
2024-11-04,서울,강남구,가격지수,매매,81.2064
2024-11-11,서울,강남구,가격지수,매매,81.3155
2024-11-18,서울,강남구,가격지수,매매,81.4913
2024-11-25,서울,강남구,가격지수,매매,81.5965
2024-12-02,서울,강남구,가격지수,매매,81.699
2024-12-09,서울,강남구,가격지수,매매,81.7795
2024-12-16,서울,강남구,가격지수,매매,81.8469
2024-12-23,서울,강남구,가격지수,매매,81.9019
2024-12-30,서울,강남구,가격지수,매매,81.9683
2025-01-06,서울,강남구,가격지수,매매,82.0183
2025-01-13,서울,강남구,가격지수,매매,82.0642
2025-01-20,서울,강남구,가격지수,매매,82.1386
2025-02-03,서울,강남구,가격지수,매매,82.2073
2025-02-10,서울,강남구,가격지수,매매,82.3405
2025-02-17,서울,강남구,가격지수,매매,82.6547
2025-02-24,서울,강남구,가격지수,매매,83.0321
2025-03-03,서울,강남구,가격지수,매매,83.4179
2025-03-10,서울,강남구,가격지수,매매,84.1693
2025-03-17,서울,강남구,가격지수,매매,84.9816
2025-03-24,서울,강남구,가격지수,매매,85.6559
2025-03-31,서울,강남구,가격지수,매매,86.15
2025-04-07,서울,강남구,가격지수,매매,86.5052
2025-04-14,서울,강남구,가격지수,매매,86.8463
2025-04-21,서울,강남구,가격지수,매매,87.4554
2025-04-28,서울,강남구,가격지수,매매,87.9186
2025-05-05,서울,강남구,가격지수,매매,88.1219
2025-05-12,서울,강남구,가격지수,매매,88.3705
2025-05-19,서울,강남구,가격지수,매매,88.4214
2025-05-26,서울,강남구,가격지수,매매,89.2344
2025-06-02,서울,강남구,가격지수,매매,89.8044
2025-06-09,서울,강남구,가격지수,매매,90.7423
2025-06-16,서울,강남구,가격지수,매매,91.5857
2025-06-23,서울,강남구,가격지수,매매,92.1664
2025-06-30,서울,강남구,가격지수,매매,92.3994
2025-07-07,서울,강남구,가격지수,매매,92.7895
2025-07-14,서울,강남구,가격지수,매매,92.972
2025-07-21,서울,강남구,가격지수,매매,93.2182
2025-07-28,서울,강남구,가격지수,매매,93.4521
2025-08-04,서울,강남구,가격지수,매매,93.6634
2025-08-11,서울,강남구,가격지수,매매,93.7845
2025-08-18,서울,강남구,가격지수,매매,93.9911
2025-08-25,서울,강남구,가격지수,매매,94.1681
2025-09-01,서울,강남구,가격지수,매매,94.5642
2025-09-08,서울,강남구,가격지수,매매,94.7158
2025-09-15,서울,강남구,가격지수,매매,94.8753
2025-09-22,서울,강남구,가격지수,매매,95.1842
2025-09-29,서울,강남구,가격지수,매매,95.541
2025-10-13,서울,강남구,가격지수,매매,96.2496
2025-10-20,서울,강남구,가격지수,매매,96.7236
2025-10-27,서울,강남구,가격지수,매매,97.1126
2025-11-03,서울,강남구,가격지수,매매,97.3477
2025-11-10,서울,강남구,가격지수,매매,97.6471
2025-11-17,서울,강남구,가격지수,매매,97.9821
2025-11-24,서울,강남구,가격지수,매매,98.3375
2025-12-01,서울,강남구,가격지수,매매,98.7107
2025-12-08,서울,강남구,가격지수,매매,98.9091
2025-12-15,서울,강남구,가격지수,매매,99.0211
2025-12-22,서울,강남구,가격지수,매매,99.2884
2025-12-29,서울,강남구,가격지수,매매,99.4887
2026-01-05,서울,강남구,가격지수,매매,99.6893
2026-01-12,서울,강남구,가격지수,매매,100.0
2026-01-19,서울,강남구,가격지수,매매,100.2117
2026-01-26,서울,강남구,가격지수,매매,100.2908
2026-02-02,서울,강남구,가격지수,매매,100.4887
2026-02-09,서울,강남구,가격지수,매매,100.5805
2026-02-23,서울,강남구,가격지수,매매,100.681
2026-03-02,서울,강남구,가격지수,매매,100.6346
2026-03-09,서울,강남구,가격지수,매매,100.5813
2026-03-16,서울,강남구,가격지수,매매,100.4154
2026-03-23,서울,강남구,가격지수,매매,100.2743
2026-03-30,서울,강남구,가격지수,매매,100.186
2026-04-06,서울,강남구,가격지수,매매,100.1406
2026-04-13,서울,강남구,가격지수,매매,100.1263
2026-04-20,서울,강남구,가격지수,매매,100.0436
2026-04-27,서울,강남구,가격지수,매매,99.8788
2026-05-04,서울,강남구,가격지수,매매,99.7235
2026-05-11,서울,강남구,가격지수,매매,99.7204
2026-05-18,서울,강남구,가격지수,매매,99.7635
2026-05-25,서울,강남구,가격지수,매매,99.7764
2026-06-01,서울,강남구,가격지수,매매,99.8187
2026-06-08,서울,강남구,가격지수,매매,99.8954
2026-06-15,서울,강남구,가격지수,매매,99.9676
2026-06-22,서울,강남구,가격지수,매매,100.046
2024-06-24,서울,강동구,가격지수,매매,79.2966
2024-07-01,서울,강동구,가격지수,매매,79.4271
2024-07-08,서울,강동구,가격지수,매매,79.7314
2024-07-15,서울,강동구,가격지수,매매,79.8683
2024-07-22,서울,강동구,가격지수,매매,80.2625
2024-07-29,서울,강동구,가격지수,매매,80.7739
2024-08-05,서울,강동구,가격지수,매매,81.1352
2024-08-12,서울,강동구,가격지수,매매,81.4956
2024-08-19,서울,강동구,가격지수,매매,81.6887
2024-08-26,서울,강동구,가격지수,매매,81.9695
2024-09-02,서울,강동구,가격지수,매매,82.284
2024-09-09,서울,강동구,가격지수,매매,82.4232
2024-09-23,서울,강동구,가격지수,매매,82.8134
2024-09-30,서울,강동구,가격지수,매매,82.9531
2024-10-07,서울,강동구,가격지수,매매,83.0202
2024-10-14,서울,강동구,가격지수,매매,83.2617
2024-10-21,서울,강동구,가격지수,매매,83.4071
2024-10-28,서울,강동구,가격지수,매매,83.5488
2024-11-04,서울,강동구,가격지수,매매,83.5995
2024-11-11,서울,강동구,가격지수,매매,83.6253
2024-11-18,서울,강동구,가격지수,매매,83.6766
2024-11-25,서울,강동구,가격지수,매매,83.7558
2024-12-02,서울,강동구,가격지수,매매,83.8285
2024-12-09,서울,강동구,가격지수,매매,83.8402
2024-12-16,서울,강동구,가격지수,매매,83.8415
2024-12-23,서울,강동구,가격지수,매매,83.8438
2024-12-30,서울,강동구,가격지수,매매,83.849
2025-01-06,서울,강동구,가격지수,매매,83.849
2025-01-13,서울,강동구,가격지수,매매,83.8179
2025-01-20,서울,강동구,가격지수,매매,83.809
2025-02-03,서울,강동구,가격지수,매매,83.7902
2025-02-10,서울,강동구,가격지수,매매,83.789
2025-02-17,서울,강동구,가격지수,매매,83.7887
2025-02-24,서울,강동구,가격지수,매매,83.8478
2025-03-03,서울,강동구,가격지수,매매,84.0854
2025-03-10,서울,강동구,가격지수,매매,84.2937
2025-03-17,서울,강동구,가격지수,매매,84.76
2025-03-24,서울,강동구,가격지수,매매,84.9661
2025-03-31,서울,강동구,가격지수,매매,85.1392
2025-04-07,서울,강동구,가격지수,매매,85.328
2025-04-14,서울,강동구,가격지수,매매,85.5415
2025-04-21,서울,강동구,가격지수,매매,85.6118
2025-04-28,서울,강동구,가격지수,매매,85.6738
2025-05-05,서울,강동구,가격지수,매매,85.7166
2025-05-12,서울,강동구,가격지수,매매,85.809
2025-05-19,서울,강동구,가격지수,매매,85.964
2025-05-26,서울,강동구,가격지수,매매,86.1027
2025-06-02,서울,강동구,가격지수,매매,86.3076
2025-06-09,서울,강동구,가격지수,매매,86.8727
2025-06-16,서울,강동구,가격지수,매매,87.4072
2025-06-23,서울,강동구,가격지수,매매,88.023
2025-06-30,서울,강동구,가격지수,매매,88.4876
2025-07-07,서울,강동구,가격지수,매매,89.0564
2025-07-14,서울,강동구,가격지수,매매,89.5839
2025-07-21,서울,강동구,가격지수,매매,89.9996
2025-07-28,서울,강동구,가격지수,매매,90.1827
2025-08-04,서울,강동구,가격지수,매매,90.3026
2025-08-11,서울,강동구,가격지수,매매,90.4963
2025-08-18,서울,강동구,가격지수,매매,90.6683
2025-08-25,서울,강동구,가격지수,매매,90.8294
2025-09-01,서울,강동구,가격지수,매매,91.0725
2025-09-08,서울,강동구,가격지수,매매,91.4878
2025-09-15,서울,강동구,가격지수,매매,91.8822
2025-09-22,서울,강동구,가격지수,매매,92.4378
2025-09-29,서울,강동구,가격지수,매매,93.692
2025-10-13,서울,강동구,가격지수,매매,95.7169
2025-10-20,서울,강동구,가격지수,매매,96.7656
2025-10-27,서울,강동구,가격지수,매매,97.4124
2025-11-03,서울,강동구,가격지수,매매,97.8532
2025-11-10,서울,강동구,가격지수,매매,97.9688
2025-11-17,서울,강동구,가격지수,매매,98.0999
2025-11-24,서울,강동구,가격지수,매매,98.1973
2025-12-01,서울,강동구,가격지수,매매,98.2465
2025-12-08,서울,강동구,가격지수,매매,98.4963
2025-12-15,서울,강동구,가격지수,매매,98.8079
2025-12-22,서울,강동구,가격지수,매매,98.9859
2025-12-29,서울,강동구,가격지수,매매,99.2295
2026-01-05,서울,강동구,가격지수,매매,99.6058
2026-01-12,서울,강동구,가격지수,매매,100.0
2026-01-19,서울,강동구,가격지수,매매,100.5598
2026-01-26,서울,강동구,가격지수,매매,100.8329
2026-02-02,서울,강동구,가격지수,매매,100.992
2026-02-09,서울,강동구,가격지수,매매,101.3773
2026-02-23,서울,강동구,가격지수,매매,102.5227
2026-03-02,서울,강동구,가격지수,매매,102.9787
2026-03-09,서울,강동구,가격지수,매매,103.2187
2026-03-16,서울,강동구,가격지수,매매,103.4008
2026-03-23,서울,강동구,가격지수,매매,103.7028
2026-03-30,서울,강동구,가격지수,매매,104.2905
2026-04-06,서울,강동구,가격지수,매매,104.5929
2026-04-13,서울,강동구,가격지수,매매,104.8772
2026-04-20,서울,강동구,가격지수,매매,105.1312
2026-04-27,서울,강동구,가격지수,매매,105.4514
2026-05-04,서울,강동구,가격지수,매매,105.625
2026-05-11,서울,강동구,가격지수,매매,105.8694
2026-05-18,서울,강동구,가격지수,매매,106.0408
