날짜,시도,시군구,지표,거래구분,값
2024-06-24,울산,남구,가격지수,매매,95.8433
2024-07-01,울산,남구,가격지수,매매,95.8401
2024-07-08,울산,남구,가격지수,매매,95.8419
2024-07-15,울산,남구,가격지수,매매,95.8089
2024-07-22,울산,남구,가격지수,매매,95.7676
2024-07-29,울산,남구,가격지수,매매,95.7807
2024-08-05,울산,남구,가격지수,매매,95.7828
2024-08-12,울산,남구,가격지수,매매,95.7902
2024-08-19,울산,남구,가격지수,매매,95.8028
2024-08-26,울산,남구,가격지수,매매,95.8299
2024-09-02,울산,남구,가격지수,매매,95.8314
2024-09-09,울산,남구,가격지수,매매,95.8603
2024-09-23,울산,남구,가격지수,매매,95.9575
2024-09-30,울산,남구,가격지수,매매,95.9628
2024-10-07,울산,남구,가격지수,매매,95.9656
2024-10-14,울산,남구,가격지수,매매,96.012
2024-10-21,울산,남구,가격지수,매매,96.0667
2024-10-28,울산,남구,가격지수,매매,96.0853
2024-11-04,울산,남구,가격지수,매매,96.1117
2024-11-11,울산,남구,가격지수,매매,96.1176
2024-11-18,울산,남구,가격지수,매매,96.1156
2024-11-25,울산,남구,가격지수,매매,96.1159
2024-12-02,울산,남구,가격지수,매매,96.1202
2024-12-09,울산,남구,가격지수,매매,96.126
2024-12-16,울산,남구,가격지수,매매,96.1358
2024-12-23,울산,남구,가격지수,매매,96.1285
2024-12-30,울산,남구,가격지수,매매,96.1402
2025-01-06,울산,남구,가격지수,매매,96.178
2025-01-13,울산,남구,가격지수,매매,96.2033
2025-01-20,울산,남구,가격지수,매매,96.2141
2025-02-03,울산,남구,가격지수,매매,96.2168
2025-02-10,울산,남구,가격지수,매매,96.2392
2025-02-17,울산,남구,가격지수,매매,96.2332
2025-02-24,울산,남구,가격지수,매매,96.1932
2025-03-03,울산,남구,가격지수,매매,96.2059
2025-03-10,울산,남구,가격지수,매매,96.2624
2025-03-17,울산,남구,가격지수,매매,96.2902
2025-03-24,울산,남구,가격지수,매매,96.2991
2025-03-31,울산,남구,가격지수,매매,96.3444
2025-04-07,울산,남구,가격지수,매매,96.4043
2025-04-14,울산,남구,가격지수,매매,96.4628
2025-04-21,울산,남구,가격지수,매매,96.5257
