날짜,시도,시군구,지표,거래구분,값
2012-05-07,부산,강서구,가격지수,매매,106.4972
2012-05-14,부산,강서구,가격지수,매매,106.4972
2012-05-21,부산,강서구,가격지수,매매,106.4972
2012-05-28,부산,강서구,가격지수,매매,106.4972
2012-06-04,부산,강서구,가격지수,매매,106.4972
2012-06-11,부산,강서구,가격지수,매매,106.4972
2012-06-18,부산,강서구,가격지수,매매,106.4972
2012-06-25,부산,강서구,가격지수,매매,106.4972
2012-07-02,부산,강서구,가격지수,매매,106.4972
2012-07-09,부산,강서구,가격지수,매매,106.4972
2012-07-16,부산,강서구,가격지수,매매,106.4972
2012-07-23,부산,강서구,가격지수,매매,106.4972
2012-07-30,부산,강서구,가격지수,매매,106.4972
2012-08-06,부산,강서구,가격지수,매매,106.4647
2012-08-13,부산,강서구,가격지수,매매,106.281
2012-08-20,부산,강서구,가격지수,매매,106.281
2012-08-27,부산,강서구,가격지수,매매,106.281
2012-09-03,부산,강서구,가격지수,매매,105.9787
2012-09-10,부산,강서구,가격지수,매매,105.5895
2012-09-17,부산,강서구,가격지수,매매,104.87
2012-09-24,부산,강서구,가격지수,매매,104.87
2012-10-01,부산,강서구,가격지수,매매,104.7985
2012-10-08,부산,강서구,가격지수,매매,104.5603
2012-10-15,부산,강서구,가격지수,매매,104.3915
2012-10-22,부산,강서구,가격지수,매매,104.2398
2012-10-29,부산,강서구,가격지수,매매,104.2398
2012-11-05,부산,강서구,가격지수,매매,103.9183
2012-11-12,부산,강서구,가격지수,매매,103.9183
2012-11-19,부산,강서구,가격지수,매매,103.9183
2012-11-26,부산,강서구,가격지수,매매,103.3718
2012-12-03,부산,강서구,가격지수,매매,103.3718
2012-12-10,부산,강서구,가격지수,매매,103.1692
2012-12-17,부산,강서구,가격지수,매매,102.7439
2012-12-24,부산,강서구,가격지수,매매,102.7439
2012-12-31,부산,강서구,가격지수,매매,102.6043
2013-01-07,부산,강서구,가격지수,매매,102.2751
2013-01-14,부산,강서구,가격지수,매매,102.2751
2013-01-21,부산,강서구,가격지수,매매,102.2751
2013-01-28,부산,강서구,가격지수,매매,102.1078
2013-02-04,부산,강서구,가격지수,매매,101.9073
2013-02-11,부산,강서구,가격지수,매매,101.7865
2013-02-18,부산,강서구,가격지수,매매,101.615
2013-02-25,부산,강서구,가격지수,매매,101.3818
2013-03-04,부산,강서구,가격지수,매매,101.0514
2013-03-11,부산,강서구,가격지수,매매,100.6498
2013-03-18,부산,강서구,가격지수,매매,100.564
2013-03-25,부산,강서구,가격지수,매매,100.4781
2013-04-01,부산,강서구,가격지수,매매,100.1793
2013-04-08,부산,강서구,가격지수,매매,99.9305
2013-04-15,부산,강서구,가격지수,매매,99.6175
2013-04-22,부산,강서구,가격지수,매매,99.5328
2013-04-29,부산,강서구,가격지수,매매,99.4342
2013-05-06,부산,강서구,가격지수,매매,99.3976
2013-05-13,부산,강서구,가격지수,매매,99.3087
2013-05-20,부산,강서구,가격지수,매매,99.3087
2013-05-27,부산,강서구,가격지수,매매,99.3087
