날짜,시도,시군구,지표,거래구분,값
2012-05-07,충북,음성군,가격지수,매매,100.401
2012-05-14,충북,음성군,가격지수,매매,101.0303
2012-05-21,충북,음성군,가격지수,매매,101.0303
2012-05-28,충북,음성군,가격지수,매매,102.5156
2012-06-04,충북,음성군,가격지수,매매,102.5229
2012-06-11,충북,음성군,가격지수,매매,102.8704
2012-06-18,충북,음성군,가격지수,매매,103.4304
2012-06-25,충북,음성군,가격지수,매매,103.6919
2012-07-02,충북,음성군,가격지수,매매,103.8168
2012-07-09,충북,음성군,가격지수,매매,103.8693
2012-07-16,충북,음성군,가격지수,매매,104.162
2012-07-23,충북,음성군,가격지수,매매,104.8196
2012-07-30,충북,음성군,가격지수,매매,105.3759
2012-08-06,충북,음성군,가격지수,매매,104.8361
2012-08-13,충북,음성군,가격지수,매매,104.6458
2012-08-20,충북,음성군,가격지수,매매,104.5106
2012-08-27,충북,음성군,가격지수,매매,103.8448
2012-09-03,충북,음성군,가격지수,매매,103.2336
2012-09-10,충북,음성군,가격지수,매매,104.6422
2012-09-17,충북,음성군,가격지수,매매,104.5583
2012-09-24,충북,음성군,가격지수,매매,104.4377
2012-10-01,충북,음성군,가격지수,매매,104.5318
2012-10-08,충북,음성군,가격지수,매매,104.6864
2012-10-15,충북,음성군,가격지수,매매,104.6501
2012-10-22,충북,음성군,가격지수,매매,104.547
2012-10-29,충북,음성군,가격지수,매매,104.552
2012-11-05,충북,음성군,가격지수,매매,103.8028
2012-11-12,충북,음성군,가격지수,매매,103.6198
2012-11-19,충북,음성군,가격지수,매매,103.3912
2012-11-26,충북,음성군,가격지수,매매,103.3912
2012-12-03,충북,음성군,가격지수,매매,103.055
2012-12-10,충북,음성군,가격지수,매매,102.7906
2012-12-17,충북,음성군,가격지수,매매,102.7906
2012-12-24,충북,음성군,가격지수,매매,102.7906
2012-12-31,충북,음성군,가격지수,매매,103.0825
2013-01-07,충북,음성군,가격지수,매매,102.7141
2013-01-14,충북,음성군,가격지수,매매,102.7141
2013-01-21,충북,음성군,가격지수,매매,102.7141
2013-01-28,충북,음성군,가격지수,매매,102.7501
2013-02-04,충북,음성군,가격지수,매매,102.7138
2013-02-11,충북,음성군,가격지수,매매,102.8747
2013-02-18,충북,음성군,가격지수,매매,102.952
2013-02-25,충북,음성군,가격지수,매매,102.9909
2013-03-04,충북,음성군,가격지수,매매,103.0653
2013-03-11,충북,음성군,가격지수,매매,103.178
2013-03-18,충북,음성군,가격지수,매매,103.0801
2013-03-25,충북,음성군,가격지수,매매,103.0186
2013-04-01,충북,음성군,가격지수,매매,103.1065
2013-04-08,충북,음성군,가격지수,매매,102.9806
2013-04-15,충북,음성군,가격지수,매매,103.0826
2013-04-22,충북,음성군,가격지수,매매,103.172
2013-04-29,충북,음성군,가격지수,매매,103.2713
2013-05-06,충북,음성군,가격지수,매매,103.4208
2013-05-13,충북,음성군,가격지수,매매,103.6345
2013-05-20,충북,음성군,가격지수,매매,103.5883
2013-05-27,충북,음성군,가격지수,매매,103.7711
