날짜,시도,시군구,지표,거래구분,값
2012-05-07,충남,계룡시,가격지수,매매,105.5912
2012-05-14,충남,계룡시,가격지수,매매,105.5912
2012-05-21,충남,계룡시,가격지수,매매,105.1798
2012-05-28,충남,계룡시,가격지수,매매,105.1798
2012-06-04,충남,계룡시,가격지수,매매,105.1798
2012-06-11,충남,계룡시,가격지수,매매,105.005
2012-06-18,충남,계룡시,가격지수,매매,105.005
2012-06-25,충남,계룡시,가격지수,매매,105.005
2012-07-02,충남,계룡시,가격지수,매매,105.005
2012-07-09,충남,계룡시,가격지수,매매,104.8026
2012-07-16,충남,계룡시,가격지수,매매,104.8026
2012-07-23,충남,계룡시,가격지수,매매,104.8026
2012-07-30,충남,계룡시,가격지수,매매,104.8026
2012-08-06,충남,계룡시,가격지수,매매,104.2978
2012-08-13,충남,계룡시,가격지수,매매,104.2978
2012-08-20,충남,계룡시,가격지수,매매,104.2978
2012-08-27,충남,계룡시,가격지수,매매,104.2978
2012-09-03,충남,계룡시,가격지수,매매,104.2978
2012-09-10,충남,계룡시,가격지수,매매,104.2978
2012-09-17,충남,계룡시,가격지수,매매,104.2978
2012-09-24,충남,계룡시,가격지수,매매,104.2978
2012-10-01,충남,계룡시,가격지수,매매,104.2978
2012-10-08,충남,계룡시,가격지수,매매,104.2978
2012-10-15,충남,계룡시,가격지수,매매,104.2978
2012-10-22,충남,계룡시,가격지수,매매,104.2978
2012-10-29,충남,계룡시,가격지수,매매,104.2978
2012-11-05,충남,계룡시,가격지수,매매,104.2225
2012-11-12,충남,계룡시,가격지수,매매,104.1973
2012-11-19,충남,계룡시,가격지수,매매,104.1973
2012-11-26,충남,계룡시,가격지수,매매,104.2066
2012-12-03,충남,계룡시,가격지수,매매,104.2066
2012-12-10,충남,계룡시,가격지수,매매,104.2719
2012-12-17,충남,계룡시,가격지수,매매,104.2719
2012-12-24,충남,계룡시,가격지수,매매,104.2719
2012-12-31,충남,계룡시,가격지수,매매,103.8493
2013-01-07,충남,계룡시,가격지수,매매,103.8673
2013-01-14,충남,계룡시,가격지수,매매,103.8189
