날짜,시도,시군구,지표,거래구분,값
2012-05-07,대구,남구,가격지수,매매,81.8779
2012-05-14,대구,남구,가격지수,매매,81.8779
2012-05-21,대구,남구,가격지수,매매,81.9025
2012-05-28,대구,남구,가격지수,매매,81.9533
2012-06-04,대구,남구,가격지수,매매,81.9533
2012-06-11,대구,남구,가격지수,매매,81.9507
2012-06-18,대구,남구,가격지수,매매,81.9507
2012-06-25,대구,남구,가격지수,매매,81.9507
2012-07-02,대구,남구,가격지수,매매,82.0114
2012-07-09,대구,남구,가격지수,매매,82.0085
2012-07-16,대구,남구,가격지수,매매,82.0366
2012-07-23,대구,남구,가격지수,매매,82.1995
2012-07-30,대구,남구,가격지수,매매,82.3188
2012-08-06,대구,남구,가격지수,매매,82.3883
2012-08-13,대구,남구,가격지수,매매,82.4051
2012-08-20,대구,남구,가격지수,매매,82.4216
2012-08-27,대구,남구,가격지수,매매,82.4381
2012-09-03,대구,남구,가격지수,매매,82.5066
2012-09-10,대구,남구,가격지수,매매,82.5452
2012-09-17,대구,남구,가격지수,매매,82.5452
2012-09-24,대구,남구,가격지수,매매,82.6314
2012-10-01,대구,남구,가격지수,매매,82.7521
2012-10-08,대구,남구,가격지수,매매,82.8546
2012-10-15,대구,남구,가격지수,매매,83.1224
2012-10-22,대구,남구,가격지수,매매,83.4498
2012-10-29,대구,남구,가격지수,매매,83.4801
2012-11-05,대구,남구,가격지수,매매,83.5471
2012-11-12,대구,남구,가격지수,매매,83.6449
2012-11-19,대구,남구,가격지수,매매,83.9834
2012-11-26,대구,남구,가격지수,매매,84.0949
2012-12-03,대구,남구,가격지수,매매,84.2598
2012-12-10,대구,남구,가격지수,매매,84.608
2012-12-17,대구,남구,가격지수,매매,85.4717
2012-12-24,대구,남구,가격지수,매매,86.2963
2012-12-31,대구,남구,가격지수,매매,86.7382
2013-01-07,대구,남구,가격지수,매매,87.536
2013-01-14,대구,남구,가격지수,매매,87.8595
2013-01-21,대구,남구,가격지수,매매,88.0384
2013-01-28,대구,남구,가격지수,매매,88.1101
2013-02-04,대구,남구,가격지수,매매,88.2514
2013-02-11,대구,남구,가격지수,매매,88.2514
2013-02-18,대구,남구,가격지수,매매,88.3134
2013-02-25,대구,남구,가격지수,매매,88.3598
2013-03-04,대구,남구,가격지수,매매,88.308
2013-03-11,대구,남구,가격지수,매매,88.511
