날짜,시도,시군구,지표,거래구분,값
2012-05-07,대전,대덕구,가격지수,매매,82.9031
2012-05-14,대전,대덕구,가격지수,매매,82.7502
2012-05-21,대전,대덕구,가격지수,매매,82.8536
2012-05-28,대전,대덕구,가격지수,매매,82.8536
2012-06-04,대전,대덕구,가격지수,매매,82.8536
2012-06-11,대전,대덕구,가격지수,매매,82.68
2012-06-18,대전,대덕구,가격지수,매매,82.68
2012-06-25,대전,대덕구,가격지수,매매,82.68
2012-07-02,대전,대덕구,가격지수,매매,82.68
2012-07-09,대전,대덕구,가격지수,매매,82.68
2012-07-16,대전,대덕구,가격지수,매매,82.68
2012-07-23,대전,대덕구,가격지수,매매,82.68
2012-07-30,대전,대덕구,가격지수,매매,82.68
2012-08-06,대전,대덕구,가격지수,매매,82.6614
2012-08-13,대전,대덕구,가격지수,매매,82.6614
2012-08-20,대전,대덕구,가격지수,매매,82.6614
2012-08-27,대전,대덕구,가격지수,매매,82.6614
2012-09-03,대전,대덕구,가격지수,매매,82.6614
2012-09-10,대전,대덕구,가격지수,매매,82.6614
2012-09-17,대전,대덕구,가격지수,매매,82.6614
2012-09-24,대전,대덕구,가격지수,매매,82.6614
2012-10-01,대전,대덕구,가격지수,매매,82.6614
2012-10-08,대전,대덕구,가격지수,매매,82.6614
2012-10-15,대전,대덕구,가격지수,매매,82.6614
2012-10-22,대전,대덕구,가격지수,매매,82.6614
2012-10-29,대전,대덕구,가격지수,매매,82.6614
2012-11-05,대전,대덕구,가격지수,매매,82.7345
2012-11-12,대전,대덕구,가격지수,매매,82.7345
2012-11-19,대전,대덕구,가격지수,매매,82.692
2012-11-26,대전,대덕구,가격지수,매매,82.692
2012-12-03,대전,대덕구,가격지수,매매,82.692
2012-12-10,대전,대덕구,가격지수,매매,82.692
2012-12-17,대전,대덕구,가격지수,매매,82.692
2012-12-24,대전,대덕구,가격지수,매매,82.692
2012-12-31,대전,대덕구,가격지수,매매,82.692
2013-01-07,대전,대덕구,가격지수,매매,82.692
2013-01-14,대전,대덕구,가격지수,매매,82.692
2013-01-21,대전,대덕구,가격지수,매매,82.692
2013-01-28,대전,대덕구,가격지수,매매,82.692
2013-02-04,대전,대덕구,가격지수,매매,82.692
2013-02-11,대전,대덕구,가격지수,매매,82.692
2013-02-18,대전,대덕구,가격지수,매매,82.692
2013-02-25,대전,대덕구,가격지수,매매,82.692
2013-03-04,대전,대덕구,가격지수,매매,82.7119
2013-03-11,대전,대덕구,가격지수,매매,82.7119
2013-03-18,대전,대덕구,가격지수,매매,82.768
2013-03-25,대전,대덕구,가격지수,매매,82.768
2013-04-01,대전,대덕구,가격지수,매매,82.9202
2013-04-08,대전,대덕구,가격지수,매매,82.9667
2013-04-15,대전,대덕구,가격지수,매매,83.0556
2013-04-22,대전,대덕구,가격지수,매매,83.1124
2013-04-29,대전,대덕구,가격지수,매매,83.1623
2013-05-06,대전,대덕구,가격지수,매매,83.2203
2013-05-13,대전,대덕구,가격지수,매매,83.2886
2013-05-20,대전,대덕구,가격지수,매매,83.3102
2013-05-27,대전,대덕구,가격지수,매매,83.3069
2013-06-03,대전,대덕구,가격지수,매매,83.3327
2013-06-10,대전,대덕구,가격지수,매매,83.3127
2013-06-17,대전,대덕구,가격지수,매매,83.3188
2013-06-24,대전,대덕구,가격지수,매매,83.3029
2013-07-01,대전,대덕구,가격지수,매매,83.2809
2013-07-08,대전,대덕구,가격지수,매매,83.2299
2013-07-15,대전,대덕구,가격지수,매매,83.2052
2013-07-22,대전,대덕구,가격지수,매매,83.162
2013-07-29,대전,대덕구,가격지수,매매,83.116
2013-08-05,대전,대덕구,가격지수,매매,83.0973
2013-08-12,대전,대덕구,가격지수,매매,82.8635
2013-08-19,대전,대덕구,가격지수,매매,82.7289
2013-08-26,대전,대덕구,가격지수,매매,82.6728
2013-09-02,대전,대덕구,가격지수,매매,82.6451
2013-09-09,대전,대덕구,가격지수,매매,82.8015
2013-09-16,대전,대덕구,가격지수,매매,82.8015
2013-09-23,대전,대덕구,가격지수,매매,82.9026
2013-09-30,대전,대덕구,가격지수,매매,82.9117
2013-10-07,대전,대덕구,가격지수,매매,82.9697
2013-10-14,대전,대덕구,가격지수,매매,83.0968
2013-10-21,대전,대덕구,가격지수,매매,83.1766
2013-10-28,대전,대덕구,가격지수,매매,83.2307
2013-11-04,대전,대덕구,가격지수,매매,83.3066
2013-11-11,대전,대덕구,가격지수,매매,83.4504
2013-11-18,대전,대덕구,가격지수,매매,83.5918
2013-11-25,대전,대덕구,가격지수,매매,83.7979
2013-12-02,대전,대덕구,가격지수,매매,83.8666
2013-12-09,대전,대덕구,가격지수,매매,84.0315
2013-12-16,대전,대덕구,가격지수,매매,84.31
2013-12-23,대전,대덕구,가격지수,매매,84.3299
2013-12-30,대전,대덕구,가격지수,매매,84.4013
2014-01-06,대전,대덕구,가격지수,매매,84.6918
2014-01-13,대전,대덕구,가격지수,매매,84.9047
2014-01-20,대전,대덕구,가격지수,매매,84.7557
2014-01-27,대전,대덕구,가격지수,매매,84.6546
2014-02-03,대전,대덕구,가격지수,매매,84.5003
2014-02-10,대전,대덕구,가격지수,매매,84.7859
2014-02-17,대전,대덕구,가격지수,매매,84.892
2014-02-24,대전,대덕구,가격지수,매매,84.6914
2014-03-03,대전,대덕구,가격지수,매매,84.4559
2014-03-10,대전,대덕구,가격지수,매매,84.2808
2014-03-17,대전,대덕구,가격지수,매매,84.2585
2014-03-24,대전,대덕구,가격지수,매매,83.8902
2014-03-31,대전,대덕구,가격지수,매매,83.8989
2014-04-07,대전,대덕구,가격지수,매매,83.9532
2014-04-14,대전,대덕구,가격지수,매매,84.183
2014-04-21,대전,대덕구,가격지수,매매,84.0868
2014-04-28,대전,대덕구,가격지수,매매,83.9938
2014-05-05,대전,대덕구,가격지수,매매,83.8765
2014-05-12,대전,대덕구,가격지수,매매,83.8025
2014-05-19,대전,대덕구,가격지수,매매,83.8025
2014-05-26,대전,대덕구,가격지수,매매,83.8015
2014-06-02,대전,대덕구,가격지수,매매,83.7947
2014-06-09,대전,대덕구,가격지수,매매,83.856
2014-06-16,대전,대덕구,가격지수,매매,83.9242
2014-06-23,대전,대덕구,가격지수,매매,83.971
2014-06-30,대전,대덕구,가격지수,매매,84.1127
2014-07-07,대전,대덕구,가격지수,매매,84.0232
2014-07-14,대전,대덕구,가격지수,매매,84.108
2014-07-21,대전,대덕구,가격지수,매매,84.1924
2014-07-28,대전,대덕구,가격지수,매매,84.2593
2014-08-04,대전,대덕구,가격지수,매매,84.3132
2014-08-11,대전,대덕구,가격지수,매매,84.6415
2014-08-18,대전,대덕구,가격지수,매매,84.8348
2014-08-25,대전,대덕구,가격지수,매매,85.0909
2014-09-01,대전,대덕구,가격지수,매매,85.5515
2014-09-08,대전,대덕구,가격지수,매매,85.6584
2014-09-15,대전,대덕구,가격지수,매매,85.825
2014-09-22,대전,대덕구,가격지수,매매,86.1828
2014-09-29,대전,대덕구,가격지수,매매,86.4011
2014-10-06,대전,대덕구,가격지수,매매,86.4966
2014-10-13,대전,대덕구,가격지수,매매,86.6221
2014-10-20,대전,대덕구,가격지수,매매,86.7652
2014-10-27,대전,대덕구,가격지수,매매,86.8001
2014-11-03,대전,대덕구,가격지수,매매,86.8395
2014-11-10,대전,대덕구,가격지수,매매,86.9618
2014-11-17,대전,대덕구,가격지수,매매,86.9194
2014-11-24,대전,대덕구,가격지수,매매,87.0456
2014-12-01,대전,대덕구,가격지수,매매,87.0456
2014-12-08,대전,대덕구,가격지수,매매,87.0451
2014-12-15,대전,대덕구,가격지수,매매,87.0917
2014-12-22,대전,대덕구,가격지수,매매,87.1347
2014-12-29,대전,대덕구,가격지수,매매,87.1545
2015-01-05,대전,대덕구,가격지수,매매,87.0183
2015-01-12,대전,대덕구,가격지수,매매,87.0597
2015-01-19,대전,대덕구,가격지수,매매,87.0576
2015-01-26,대전,대덕구,가격지수,매매,87.0764
2015-02-02,대전,대덕구,가격지수,매매,87.0764
2015-02-09,대전,대덕구,가격지수,매매,87.0921
2015-02-16,대전,대덕구,가격지수,매매,87.1084
2015-02-23,대전,대덕구,가격지수,매매,87.1084
2015-03-02,대전,대덕구,가격지수,매매,87.0532
2015-03-09,대전,대덕구,가격지수,매매,87.0826
2015-03-16,대전,대덕구,가격지수,매매,87.1319
2015-03-23,대전,대덕구,가격지수,매매,87.1806
2015-03-30,대전,대덕구,가격지수,매매,87.2011
2015-04-06,대전,대덕구,가격지수,매매,87.2006
2015-04-13,대전,대덕구,가격지수,매매,87.2121
2015-04-20,대전,대덕구,가격지수,매매,87.2103
2015-04-27,대전,대덕구,가격지수,매매,87.2075
2015-05-04,대전,대덕구,가격지수,매매,87.198
2015-05-11,대전,대덕구,가격지수,매매,87.2176
2015-05-18,대전,대덕구,가격지수,매매,87.2235
2015-05-25,대전,대덕구,가격지수,매매,87.2214
2015-06-01,대전,대덕구,가격지수,매매,87.2453
2015-06-08,대전,대덕구,가격지수,매매,87.2615
2015-06-15,대전,대덕구,가격지수,매매,87.2892
2015-06-22,대전,대덕구,가격지수,매매,87.2957
2015-06-29,대전,대덕구,가격지수,매매,87.2957
2015-07-06,대전,대덕구,가격지수,매매,87.3281
2015-07-13,대전,대덕구,가격지수,매매,87.3733
2015-07-20,대전,대덕구,가격지수,매매,87.3724
2015-07-27,대전,대덕구,가격지수,매매,87.4011
2015-08-03,대전,대덕구,가격지수,매매,87.4126
2015-08-10,대전,대덕구,가격지수,매매,87.4252
2015-08-17,대전,대덕구,가격지수,매매,87.4275
2015-08-24,대전,대덕구,가격지수,매매,87.4058
2015-08-31,대전,대덕구,가격지수,매매,87.3895
2015-09-07,대전,대덕구,가격지수,매매,87.3921
2015-09-14,대전,대덕구,가격지수,매매,87.4322
2015-09-21,대전,대덕구,가격지수,매매,87.4305
2015-09-28,대전,대덕구,가격지수,매매,87.4305
2015-10-05,대전,대덕구,가격지수,매매,87.4378
2015-10-12,대전,대덕구,가격지수,매매,87.4775
2015-10-19,대전,대덕구,가격지수,매매,87.5035
2015-10-26,대전,대덕구,가격지수,매매,87.5415
2015-11-02,대전,대덕구,가격지수,매매,87.6139
2015-11-09,대전,대덕구,가격지수,매매,87.6357
2015-11-16,대전,대덕구,가격지수,매매,87.6677
2015-11-23,대전,대덕구,가격지수,매매,87.7059
2015-11-30,대전,대덕구,가격지수,매매,87.7074
2015-12-07,대전,대덕구,가격지수,매매,87.697
2015-12-14,대전,대덕구,가격지수,매매,87.7206
2015-12-21,대전,대덕구,가격지수,매매,87.7015
2015-12-28,대전,대덕구,가격지수,매매,87.6823
2016-01-04,대전,대덕구,가격지수,매매,87.6824
2016-01-11,대전,대덕구,가격지수,매매,87.6571
2016-01-18,대전,대덕구,가격지수,매매,87.6418
2016-01-25,대전,대덕구,가격지수,매매,87.6367
2016-02-01,대전,대덕구,가격지수,매매,87.6203
2016-02-08,대전,대덕구,가격지수,매매,87.6176
2016-02-15,대전,대덕구,가격지수,매매,87.6176
2016-02-22,대전,대덕구,가격지수,매매,87.6387
2016-02-29,대전,대덕구,가격지수,매매,87.6427
2016-03-07,대전,대덕구,가격지수,매매,87.6359
2016-03-14,대전,대덕구,가격지수,매매,87.6299
2016-03-21,대전,대덕구,가격지수,매매,87.6299
