날짜,시도,시군구,지표,거래구분,값
2012-05-07,강원,강릉시,가격지수,매매,78.1565
2012-05-14,강원,강릉시,가격지수,매매,78.1565
2012-05-21,강원,강릉시,가격지수,매매,78.1565
2012-05-28,강원,강릉시,가격지수,매매,78.1565
2012-06-04,강원,강릉시,가격지수,매매,78.5302
2012-06-11,강원,강릉시,가격지수,매매,78.5302
2012-06-18,강원,강릉시,가격지수,매매,78.5669
2012-06-25,강원,강릉시,가격지수,매매,78.7332
2012-07-02,강원,강릉시,가격지수,매매,78.985
2012-07-09,강원,강릉시,가격지수,매매,79.1779
2012-07-16,강원,강릉시,가격지수,매매,79.1779
2012-07-23,강원,강릉시,가격지수,매매,79.4161
2012-07-30,강원,강릉시,가격지수,매매,79.4161
2012-08-06,강원,강릉시,가격지수,매매,79.4161
2012-08-13,강원,강릉시,가격지수,매매,79.2953
2012-08-20,강원,강릉시,가격지수,매매,79.2953
2012-08-27,강원,강릉시,가격지수,매매,79.2953
2012-09-03,강원,강릉시,가격지수,매매,79.2953
2012-09-10,강원,강릉시,가격지수,매매,79.4113
2012-09-17,강원,강릉시,가격지수,매매,79.2648
2012-09-24,강원,강릉시,가격지수,매매,79.2648
2012-10-01,강원,강릉시,가격지수,매매,79.1339
2012-10-08,강원,강릉시,가격지수,매매,79.1339
2012-10-15,강원,강릉시,가격지수,매매,79.1339
2012-10-22,강원,강릉시,가격지수,매매,79.1339
2012-10-29,강원,강릉시,가격지수,매매,79.1339
2012-11-05,강원,강릉시,가격지수,매매,79.1339
2012-11-12,강원,강릉시,가격지수,매매,79.1339
2012-11-19,강원,강릉시,가격지수,매매,79.1339
2012-11-26,강원,강릉시,가격지수,매매,79.1339
2012-12-03,강원,강릉시,가격지수,매매,79.1339
2012-12-10,강원,강릉시,가격지수,매매,79.1857
2012-12-17,강원,강릉시,가격지수,매매,79.1857
2012-12-24,강원,강릉시,가격지수,매매,79.2597
2012-12-31,강원,강릉시,가격지수,매매,79.1412
2013-01-07,강원,강릉시,가격지수,매매,79.1013
2013-01-14,강원,강릉시,가격지수,매매,79.1013
