날짜,시도,시군구,지표,거래구분,값
2012-05-07,광주,광산구,가격지수,매매,79.0534
2012-05-14,광주,광산구,가격지수,매매,79.3935
2012-05-21,광주,광산구,가격지수,매매,79.3935
2012-05-28,광주,광산구,가격지수,매매,79.3935
2012-06-04,광주,광산구,가격지수,매매,79.787
2012-06-11,광주,광산구,가격지수,매매,79.8705
2012-06-18,광주,광산구,가격지수,매매,79.8705
2012-06-25,광주,광산구,가격지수,매매,79.8705
2012-07-02,광주,광산구,가격지수,매매,79.6751
2012-07-09,광주,광산구,가격지수,매매,79.6751
2012-07-16,광주,광산구,가격지수,매매,79.6751
2012-07-23,광주,광산구,가격지수,매매,79.6221
2012-07-30,광주,광산구,가격지수,매매,79.6221
2012-08-06,광주,광산구,가격지수,매매,79.6221
2012-08-13,광주,광산구,가격지수,매매,79.6221
2012-08-20,광주,광산구,가격지수,매매,79.5049
2012-08-27,광주,광산구,가격지수,매매,79.5049
2012-09-03,광주,광산구,가격지수,매매,79.4361
2012-09-10,광주,광산구,가격지수,매매,79.3859
2012-09-17,광주,광산구,가격지수,매매,79.4042
2012-09-24,광주,광산구,가격지수,매매,79.4042
2012-10-01,광주,광산구,가격지수,매매,79.4042
2012-10-08,광주,광산구,가격지수,매매,79.4042
2012-10-15,광주,광산구,가격지수,매매,79.4042
2012-10-22,광주,광산구,가격지수,매매,79.4042
2012-10-29,광주,광산구,가격지수,매매,79.2285
2012-11-05,광주,광산구,가격지수,매매,79.2285
2012-11-12,광주,광산구,가격지수,매매,79.0185
2012-11-19,광주,광산구,가격지수,매매,79.0185
2012-11-26,광주,광산구,가격지수,매매,79.0185
2012-12-03,광주,광산구,가격지수,매매,79.0185
2012-12-10,광주,광산구,가격지수,매매,79.2109
2012-12-17,광주,광산구,가격지수,매매,79.2109
2012-12-24,광주,광산구,가격지수,매매,79.3368
2012-12-31,광주,광산구,가격지수,매매,79.3368
2013-01-07,광주,광산구,가격지수,매매,79.4091
2013-01-14,광주,광산구,가격지수,매매,79.4091
2013-01-21,광주,광산구,가격지수,매매,79.3728
2013-01-28,광주,광산구,가격지수,매매,79.3728
2013-02-04,광주,광산구,가격지수,매매,79.3728
2013-02-11,광주,광산구,가격지수,매매,79.6434
2013-02-18,광주,광산구,가격지수,매매,79.6434
2013-02-25,광주,광산구,가격지수,매매,79.7259
2013-03-04,광주,광산구,가격지수,매매,79.7059
2013-03-11,광주,광산구,가격지수,매매,79.7533
2013-03-18,광주,광산구,가격지수,매매,79.7991
2013-03-25,광주,광산구,가격지수,매매,79.8335
2013-04-01,광주,광산구,가격지수,매매,79.8862
2013-04-08,광주,광산구,가격지수,매매,80.0004
2013-04-15,광주,광산구,가격지수,매매,80.0617
2013-04-22,광주,광산구,가격지수,매매,80.1085
2013-04-29,광주,광산구,가격지수,매매,80.1786
2013-05-06,광주,광산구,가격지수,매매,80.2165
2013-05-13,광주,광산구,가격지수,매매,80.2526
2013-05-20,광주,광산구,가격지수,매매,80.3129
2013-05-27,광주,광산구,가격지수,매매,80.322
2013-06-03,광주,광산구,가격지수,매매,80.3285
2013-06-10,광주,광산구,가격지수,매매,80.3712
2013-06-17,광주,광산구,가격지수,매매,80.3254
2013-06-24,광주,광산구,가격지수,매매,80.2898
2013-07-01,광주,광산구,가격지수,매매,80.2898
2013-07-08,광주,광산구,가격지수,매매,80.3086
2013-07-15,광주,광산구,가격지수,매매,80.2962
2013-07-22,광주,광산구,가격지수,매매,80.2689
2013-07-29,광주,광산구,가격지수,매매,80.2689
2013-08-05,광주,광산구,가격지수,매매,80.2543
2013-08-12,광주,광산구,가격지수,매매,80.2543
2013-08-19,광주,광산구,가격지수,매매,80.2585
2013-08-26,광주,광산구,가격지수,매매,80.2585
2013-09-02,광주,광산구,가격지수,매매,80.2585
2013-09-09,광주,광산구,가격지수,매매,80.2437
2013-09-16,광주,광산구,가격지수,매매,80.2419
2013-09-23,광주,광산구,가격지수,매매,80.2419
2013-09-30,광주,광산구,가격지수,매매,80.2318
2013-10-07,광주,광산구,가격지수,매매,80.2548
2013-10-14,광주,광산구,가격지수,매매,80.2625
2013-10-21,광주,광산구,가격지수,매매,80.2677
2013-10-28,광주,광산구,가격지수,매매,80.269
2013-11-04,광주,광산구,가격지수,매매,80.7113
2013-11-11,광주,광산구,가격지수,매매,80.7216
2013-11-18,광주,광산구,가격지수,매매,80.7085
2013-11-25,광주,광산구,가격지수,매매,80.7103
2013-12-02,광주,광산구,가격지수,매매,80.696
2013-12-09,광주,광산구,가격지수,매매,80.696
2013-12-16,광주,광산구,가격지수,매매,80.696
2013-12-23,광주,광산구,가격지수,매매,80.696
2013-12-30,광주,광산구,가격지수,매매,80.696
2014-01-06,광주,광산구,가격지수,매매,80.696
2014-01-13,광주,광산구,가격지수,매매,80.696
2014-01-20,광주,광산구,가격지수,매매,80.7454
2014-01-27,광주,광산구,가격지수,매매,80.7593
2014-02-03,광주,광산구,가격지수,매매,80.779
2014-02-10,광주,광산구,가격지수,매매,80.8737
2014-02-17,광주,광산구,가격지수,매매,80.9704
2014-02-24,광주,광산구,가격지수,매매,81.0196
2014-03-03,광주,광산구,가격지수,매매,81.112
2014-03-10,광주,광산구,가격지수,매매,81.0744
2014-03-17,광주,광산구,가격지수,매매,81.0758
2014-03-24,광주,광산구,가격지수,매매,81.1571
2014-03-31,광주,광산구,가격지수,매매,81.1808
2014-04-07,광주,광산구,가격지수,매매,81.2401
2014-04-14,광주,광산구,가격지수,매매,81.2767
2014-04-21,광주,광산구,가격지수,매매,81.3372
2014-04-28,광주,광산구,가격지수,매매,81.402
2014-05-05,광주,광산구,가격지수,매매,81.4069
2014-05-12,광주,광산구,가격지수,매매,81.4572
2014-05-19,광주,광산구,가격지수,매매,81.4755
2014-05-26,광주,광산구,가격지수,매매,81.4877
2014-06-02,광주,광산구,가격지수,매매,81.5742
2014-06-09,광주,광산구,가격지수,매매,81.6131
2014-06-16,광주,광산구,가격지수,매매,81.628
