날짜,시도,시군구,지표,거래구분,값
2012-05-07,경북,경산시,가격지수,매매,96.1763
2012-05-14,경북,경산시,가격지수,매매,96.263
2012-05-21,경북,경산시,가격지수,매매,96.1496
2012-05-28,경북,경산시,가격지수,매매,96.8675
2012-06-04,경북,경산시,가격지수,매매,96.8675
2012-06-11,경북,경산시,가격지수,매매,96.9665
2012-06-18,경북,경산시,가격지수,매매,96.9729
2012-06-25,경북,경산시,가격지수,매매,97.2465
2012-07-02,경북,경산시,가격지수,매매,97.5513
2012-07-09,경북,경산시,가격지수,매매,97.1753
2012-07-16,경북,경산시,가격지수,매매,97.2521
2012-07-23,경북,경산시,가격지수,매매,97.3125
2012-07-30,경북,경산시,가격지수,매매,97.4134
2012-08-06,경북,경산시,가격지수,매매,97.5454
2012-08-13,경북,경산시,가격지수,매매,97.6342
2012-08-20,경북,경산시,가격지수,매매,97.6827
2012-08-27,경북,경산시,가격지수,매매,97.6779
2012-09-03,경북,경산시,가격지수,매매,97.9708
2012-09-10,경북,경산시,가격지수,매매,98.1301
2012-09-17,경북,경산시,가격지수,매매,98.4764
2012-09-24,경북,경산시,가격지수,매매,98.9055
2012-10-01,경북,경산시,가격지수,매매,98.9406
2012-10-08,경북,경산시,가격지수,매매,99.1464
2012-10-15,경북,경산시,가격지수,매매,99.4608
2012-10-22,경북,경산시,가격지수,매매,99.6723
2012-10-29,경북,경산시,가격지수,매매,100.0953
2012-11-05,경북,경산시,가격지수,매매,100.3706
2012-11-12,경북,경산시,가격지수,매매,100.5166
2012-11-19,경북,경산시,가격지수,매매,101.0288
2012-11-26,경북,경산시,가격지수,매매,101.3357
2012-12-03,경북,경산시,가격지수,매매,101.4035
2012-12-10,경북,경산시,가격지수,매매,101.6515
2012-12-17,경북,경산시,가격지수,매매,102.0019
2012-12-24,경북,경산시,가격지수,매매,102.0809
2012-12-31,경북,경산시,가격지수,매매,102.3103
2013-01-07,경북,경산시,가격지수,매매,102.4125
2013-01-14,경북,경산시,가격지수,매매,102.5837
2013-01-21,경북,경산시,가격지수,매매,102.6073
2013-01-28,경북,경산시,가격지수,매매,102.6073
2013-02-04,경북,경산시,가격지수,매매,102.7466
2013-02-11,경북,경산시,가격지수,매매,102.7925
2013-02-18,경북,경산시,가격지수,매매,102.8986
2013-02-25,경북,경산시,가격지수,매매,103.0912
2013-03-04,경북,경산시,가격지수,매매,103.2353
2013-03-11,경북,경산시,가격지수,매매,103.331
2013-03-18,경북,경산시,가격지수,매매,103.3964
2013-03-25,경북,경산시,가격지수,매매,103.3964
2013-04-01,경북,경산시,가격지수,매매,103.5301
2013-04-08,경북,경산시,가격지수,매매,103.7077
2013-04-15,경북,경산시,가격지수,매매,103.9437
2013-04-22,경북,경산시,가격지수,매매,104.2928
2013-04-29,경북,경산시,가격지수,매매,104.3259
2013-05-06,경북,경산시,가격지수,매매,104.1362
2013-05-13,경북,경산시,가격지수,매매,104.3386
2013-05-20,경북,경산시,가격지수,매매,104.6122
2013-05-27,경북,경산시,가격지수,매매,104.7325
2013-06-03,경북,경산시,가격지수,매매,104.7543
2013-06-10,경북,경산시,가격지수,매매,104.806
2013-06-17,경북,경산시,가격지수,매매,105.1686
2013-06-24,경북,경산시,가격지수,매매,105.9672
2013-07-01,경북,경산시,가격지수,매매,106.4443
2013-07-08,경북,경산시,가격지수,매매,107.1699
2013-07-15,경북,경산시,가격지수,매매,107.355
2013-07-22,경북,경산시,가격지수,매매,107.5423
2013-07-29,경북,경산시,가격지수,매매,107.8875
2013-08-05,경북,경산시,가격지수,매매,108.0854
2013-08-12,경북,경산시,가격지수,매매,108.1768
2013-08-19,경북,경산시,가격지수,매매,108.548
2013-08-26,경북,경산시,가격지수,매매,108.7583
2013-09-02,경북,경산시,가격지수,매매,108.9217
2013-09-09,경북,경산시,가격지수,매매,109.1167
2013-09-16,경북,경산시,가격지수,매매,109.208
2013-09-23,경북,경산시,가격지수,매매,109.3762
2013-09-30,경북,경산시,가격지수,매매,109.498
2013-10-07,경북,경산시,가격지수,매매,110.1052
2013-10-14,경북,경산시,가격지수,매매,110.5618
2013-10-21,경북,경산시,가격지수,매매,111.0756
2013-10-28,경북,경산시,가격지수,매매,111.4937
2013-11-04,경북,경산시,가격지수,매매,111.8449
2013-11-11,경북,경산시,가격지수,매매,111.9848
2013-11-18,경북,경산시,가격지수,매매,112.5598
2013-11-25,경북,경산시,가격지수,매매,112.6185
2013-12-02,경북,경산시,가격지수,매매,113.0264
2013-12-09,경북,경산시,가격지수,매매,113.7379
2013-12-16,경북,경산시,가격지수,매매,114.1248
2013-12-23,경북,경산시,가격지수,매매,114.4136
2013-12-30,경북,경산시,가격지수,매매,115.265
2014-01-06,경북,경산시,가격지수,매매,115.9152
2014-01-13,경북,경산시,가격지수,매매,116.2755
2014-01-20,경북,경산시,가격지수,매매,117.0146
2014-01-27,경북,경산시,가격지수,매매,117.7946
2014-02-03,경북,경산시,가격지수,매매,118.8265
2014-02-10,경북,경산시,가격지수,매매,119.5334
2014-02-17,경북,경산시,가격지수,매매,120.2474
2014-02-24,경북,경산시,가격지수,매매,120.5092
2014-03-03,경북,경산시,가격지수,매매,120.7406
2014-03-10,경북,경산시,가격지수,매매,120.9823
2014-03-17,경북,경산시,가격지수,매매,120.9823
2014-03-24,경북,경산시,가격지수,매매,121.2248
2014-03-31,경북,경산시,가격지수,매매,121.627
2014-04-07,경북,경산시,가격지수,매매,122.0547
2014-04-14,경북,경산시,가격지수,매매,122.3096
2014-04-21,경북,경산시,가격지수,매매,122.5982
2014-04-28,경북,경산시,가격지수,매매,122.8614
2014-05-05,경북,경산시,가격지수,매매,123.108
2014-05-12,경북,경산시,가격지수,매매,123.3215
2014-05-19,경북,경산시,가격지수,매매,123.4673
2014-05-26,경북,경산시,가격지수,매매,123.6454
2014-06-02,경북,경산시,가격지수,매매,123.8935
2014-06-09,경북,경산시,가격지수,매매,124.0915
2014-06-16,경북,경산시,가격지수,매매,124.1949
2014-06-23,경북,경산시,가격지수,매매,124.2978
2014-06-30,경북,경산시,가격지수,매매,124.4521
2014-07-07,경북,경산시,가격지수,매매,124.5933
2014-07-14,경북,경산시,가격지수,매매,124.7986
2014-07-21,경북,경산시,가격지수,매매,124.9729
2014-07-28,경북,경산시,가격지수,매매,125.1649
2014-08-04,경북,경산시,가격지수,매매,125.2886
2014-08-11,경북,경산시,가격지수,매매,125.4222
2014-08-18,경북,경산시,가격지수,매매,125.5621
2014-08-25,경북,경산시,가격지수,매매,125.7511
2014-09-01,경북,경산시,가격지수,매매,125.9775
2014-09-08,경북,경산시,가격지수,매매,126.196
2014-09-15,경북,경산시,가격지수,매매,126.3912
2014-09-22,경북,경산시,가격지수,매매,126.5953
2014-09-29,경북,경산시,가격지수,매매,126.8441
2014-10-06,경북,경산시,가격지수,매매,127.1761
2014-10-13,경북,경산시,가격지수,매매,127.4595
2014-10-20,경북,경산시,가격지수,매매,127.6966
2014-10-27,경북,경산시,가격지수,매매,127.9872
2014-11-03,경북,경산시,가격지수,매매,128.1667
2014-11-10,경북,경산시,가격지수,매매,128.4334
2014-11-17,경북,경산시,가격지수,매매,128.7748
2014-11-24,경북,경산시,가격지수,매매,128.9209
2014-12-01,경북,경산시,가격지수,매매,129.0023
2014-12-08,경북,경산시,가격지수,매매,129.1607
2014-12-15,경북,경산시,가격지수,매매,129.3103
2014-12-22,경북,경산시,가격지수,매매,129.3275
2014-12-29,경북,경산시,가격지수,매매,129.4881
2015-01-05,경북,경산시,가격지수,매매,129.5584
2015-01-12,경북,경산시,가격지수,매매,129.6974
2015-01-19,경북,경산시,가격지수,매매,129.991
2015-01-26,경북,경산시,가격지수,매매,130.4009
2015-02-02,경북,경산시,가격지수,매매,130.6282
2015-02-09,경북,경산시,가격지수,매매,130.9589
2015-02-16,경북,경산시,가격지수,매매,131.2744
2015-02-23,경북,경산시,가격지수,매매,131.4449
2015-03-02,경북,경산시,가격지수,매매,131.5841
2015-03-09,경북,경산시,가격지수,매매,131.8071
2015-03-16,경북,경산시,가격지수,매매,132.1154
2015-03-23,경북,경산시,가격지수,매매,132.4265
2015-03-30,경북,경산시,가격지수,매매,132.6446
2015-04-06,경북,경산시,가격지수,매매,132.848
2015-04-13,경북,경산시,가격지수,매매,133.1466
2015-04-20,경북,경산시,가격지수,매매,133.4723
2015-04-27,경북,경산시,가격지수,매매,133.7463
2015-05-04,경북,경산시,가격지수,매매,133.9395
2015-05-11,경북,경산시,가격지수,매매,133.9395
2015-05-18,경북,경산시,가격지수,매매,134.1928
2015-05-25,경북,경산시,가격지수,매매,134.3492
2015-06-01,경북,경산시,가격지수,매매,134.3492
2015-06-08,경북,경산시,가격지수,매매,134.5254
2015-06-15,경북,경산시,가격지수,매매,134.8289
2015-06-22,경북,경산시,가격지수,매매,134.9679
2015-06-29,경북,경산시,가격지수,매매,135.3382
2015-07-06,경북,경산시,가격지수,매매,135.4666
2015-07-13,경북,경산시,가격지수,매매,135.6033
2015-07-20,경북,경산시,가격지수,매매,135.7759
2015-07-27,경북,경산시,가격지수,매매,135.94
2015-08-03,경북,경산시,가격지수,매매,136.1586
2015-08-10,경북,경산시,가격지수,매매,136.3775
2015-08-17,경북,경산시,가격지수,매매,136.4575
2015-08-24,경북,경산시,가격지수,매매,136.6161
2015-08-31,경북,경산시,가격지수,매매,136.699
2015-09-07,경북,경산시,가격지수,매매,136.7317
2015-09-14,경북,경산시,가격지수,매매,136.8642
2015-09-21,경북,경산시,가격지수,매매,136.9286
2015-09-28,경북,경산시,가격지수,매매,137.0265
2015-10-05,경북,경산시,가격지수,매매,137.0265
2015-10-12,경북,경산시,가격지수,매매,137.1088
2015-10-19,경북,경산시,가격지수,매매,137.2418
2015-10-26,경북,경산시,가격지수,매매,137.3728
2015-11-02,경북,경산시,가격지수,매매,137.3728
2015-11-09,경북,경산시,가격지수,매매,137.3728
2015-11-16,경북,경산시,가격지수,매매,137.3728
2015-11-23,경북,경산시,가격지수,매매,137.3728
2015-11-30,경북,경산시,가격지수,매매,137.3728
2015-12-07,경북,경산시,가격지수,매매,137.3728
2015-12-14,경북,경산시,가격지수,매매,137.3728
2015-12-21,경북,경산시,가격지수,매매,137.3728
2015-12-28,경북,경산시,가격지수,매매,137.2995
2016-01-04,경북,경산시,가격지수,매매,137.2995
2016-01-11,경북,경산시,가격지수,매매,137.1793
2016-01-18,경북,경산시,가격지수,매매,137.1793
2016-01-25,경북,경산시,가격지수,매매,137.1388
2016-02-01,경북,경산시,가격지수,매매,137.1388
2016-02-08,경북,경산시,가격지수,매매,137.1388
2016-02-15,경북,경산시,가격지수,매매,137.1388
2016-02-22,경북,경산시,가격지수,매매,136.9943
2016-02-29,경북,경산시,가격지수,매매,136.6954
2016-03-07,경북,경산시,가격지수,매매,136.546
2016-03-14,경북,경산시,가격지수,매매,136.1693
2016-03-21,경북,경산시,가격지수,매매,135.6434
2016-03-28,경북,경산시,가격지수,매매,135.1409
2016-04-04,경북,경산시,가격지수,매매,135.0433
2016-04-11,경북,경산시,가격지수,매매,134.8655
2016-04-18,경북,경산시,가격지수,매매,134.6408
2016-04-25,경북,경산시,가격지수,매매,134.4052
2016-05-02,경북,경산시,가격지수,매매,134.2827
2016-05-09,경북,경산시,가격지수,매매,134.1218
2016-05-16,경북,경산시,가격지수,매매,133.8469
2016-05-23,경북,경산시,가격지수,매매,133.5529
2016-05-30,경북,경산시,가격지수,매매,133.1946
2016-06-06,경북,경산시,가격지수,매매,132.91
2016-06-13,경북,경산시,가격지수,매매,132.6322
2016-06-20,경북,경산시,가격지수,매매,132.3022
2016-06-27,경북,경산시,가격지수,매매,131.9505
2016-07-04,경북,경산시,가격지수,매매,131.5854
2016-07-11,경북,경산시,가격지수,매매,131.2193
2016-07-18,경북,경산시,가격지수,매매,130.8451
2016-07-25,경북,경산시,가격지수,매매,130.4666
2016-08-01,경북,경산시,가격지수,매매,130.1231
2016-08-08,경북,경산시,가격지수,매매,129.811
2016-08-15,경북,경산시,가격지수,매매,129.5667
2016-08-22,경북,경산시,가격지수,매매,129.3563
2016-08-29,경북,경산시,가격지수,매매,129.0909
