날짜,시도,시군구,지표,거래구분,값
2012-05-07,경기,고양시,가격지수,매매,84.0104
2012-05-14,경기,고양시,가격지수,매매,83.8977
2012-05-21,경기,고양시,가격지수,매매,83.6015
2012-05-28,경기,고양시,가격지수,매매,83.4418
2012-06-04,경기,고양시,가격지수,매매,83.3461
2012-06-11,경기,고양시,가격지수,매매,83.0159
2012-06-18,경기,고양시,가격지수,매매,82.9361
2012-06-25,경기,고양시,가격지수,매매,82.6003
2012-07-02,경기,고양시,가격지수,매매,82.3876
2012-07-09,경기,고양시,가격지수,매매,82.1372
2012-07-16,경기,고양시,가격지수,매매,81.8123
2012-07-23,경기,고양시,가격지수,매매,81.5148
2012-07-30,경기,고양시,가격지수,매매,81.3743
2012-08-06,경기,고양시,가격지수,매매,80.8824
2012-08-13,경기,고양시,가격지수,매매,80.6232
2012-08-20,경기,고양시,가격지수,매매,80.5002
2012-08-27,경기,고양시,가격지수,매매,80.4139
2012-09-03,경기,고양시,가격지수,매매,80.007
2012-09-10,경기,고양시,가격지수,매매,79.606
2012-09-17,경기,고양시,가격지수,매매,79.4489
2012-09-24,경기,고양시,가격지수,매매,79.3246
2012-10-01,경기,고양시,가격지수,매매,79.3567
2012-10-08,경기,고양시,가격지수,매매,79.3282
2012-10-15,경기,고양시,가격지수,매매,79.1962
2012-10-22,경기,고양시,가격지수,매매,79.1346
2012-10-29,경기,고양시,가격지수,매매,79.0946
2012-11-05,경기,고양시,가격지수,매매,78.8917
2012-11-12,경기,고양시,가격지수,매매,78.7867
2012-11-19,경기,고양시,가격지수,매매,78.7529
2012-11-26,경기,고양시,가격지수,매매,78.7387
2012-12-03,경기,고양시,가격지수,매매,78.6479
2012-12-10,경기,고양시,가격지수,매매,78.522
2012-12-17,경기,고양시,가격지수,매매,78.4471
2012-12-24,경기,고양시,가격지수,매매,78.3917
2012-12-31,경기,고양시,가격지수,매매,78.2792
2013-01-07,경기,고양시,가격지수,매매,78.0423
2013-01-14,경기,고양시,가격지수,매매,77.8941
2013-01-21,경기,고양시,가격지수,매매,77.7296
2013-01-28,경기,고양시,가격지수,매매,77.5922
2013-02-04,경기,고양시,가격지수,매매,77.3915
2013-02-11,경기,고양시,가격지수,매매,77.1819
2013-02-18,경기,고양시,가격지수,매매,77.1819
2013-02-25,경기,고양시,가격지수,매매,77.1805
2013-03-04,경기,고양시,가격지수,매매,77.0077
2013-03-11,경기,고양시,가격지수,매매,76.8817
2013-03-18,경기,고양시,가격지수,매매,76.6129
2013-03-25,경기,고양시,가격지수,매매,76.497
2013-04-01,경기,고양시,가격지수,매매,76.3886
2013-04-08,경기,고양시,가격지수,매매,76.3055
2013-04-15,경기,고양시,가격지수,매매,76.3307
2013-04-22,경기,고양시,가격지수,매매,76.2239
2013-04-29,경기,고양시,가격지수,매매,76.2371
2013-05-06,경기,고양시,가격지수,매매,76.3135
2013-05-13,경기,고양시,가격지수,매매,76.3103
2013-05-20,경기,고양시,가격지수,매매,76.2811
2013-05-27,경기,고양시,가격지수,매매,76.2342
2013-06-03,경기,고양시,가격지수,매매,76.35
2013-06-10,경기,고양시,가격지수,매매,76.3697
2013-06-17,경기,고양시,가격지수,매매,76.3197
2013-06-24,경기,고양시,가격지수,매매,76.3177
2013-07-01,경기,고양시,가격지수,매매,76.2163
2013-07-08,경기,고양시,가격지수,매매,76.1919
2013-07-15,경기,고양시,가격지수,매매,76.183
2013-07-22,경기,고양시,가격지수,매매,76.1717
2013-07-29,경기,고양시,가격지수,매매,76.181
2013-08-05,경기,고양시,가격지수,매매,76.181
2013-08-12,경기,고양시,가격지수,매매,76.2294
2013-08-19,경기,고양시,가격지수,매매,76.2394
2013-08-26,경기,고양시,가격지수,매매,76.2498
2013-09-02,경기,고양시,가격지수,매매,76.3392
