날짜,시도,시군구,지표,거래구분,값
2012-05-07,경남,거제시,가격지수,매매,209.1225
2012-05-14,경남,거제시,가격지수,매매,208.7777
2012-05-21,경남,거제시,가격지수,매매,208.677
2012-05-28,경남,거제시,가격지수,매매,208.3655
2012-06-04,경남,거제시,가격지수,매매,207.4831
2012-06-11,경남,거제시,가격지수,매매,206.7914
2012-06-18,경남,거제시,가격지수,매매,206.3468
2012-06-25,경남,거제시,가격지수,매매,204.8046
2012-07-02,경남,거제시,가격지수,매매,204.4852
2012-07-09,경남,거제시,가격지수,매매,199.7701
2012-07-16,경남,거제시,가격지수,매매,199.4757
2012-07-23,경남,거제시,가격지수,매매,199.4757
2012-07-30,경남,거제시,가격지수,매매,199.4757
2012-08-06,경남,거제시,가격지수,매매,198.7071
2012-08-13,경남,거제시,가격지수,매매,198.7071
2012-08-20,경남,거제시,가격지수,매매,198.7071
2012-08-27,경남,거제시,가격지수,매매,198.5087
2012-09-03,경남,거제시,가격지수,매매,198.2627
2012-09-10,경남,거제시,가격지수,매매,197.8728
2012-09-17,경남,거제시,가격지수,매매,197.482
2012-09-24,경남,거제시,가격지수,매매,197.3541
2012-10-01,경남,거제시,가격지수,매매,197.3541
2012-10-08,경남,거제시,가격지수,매매,197.2256
2012-10-15,경남,거제시,가격지수,매매,196.6612
2012-10-22,경남,거제시,가격지수,매매,196.6612
2012-10-29,경남,거제시,가격지수,매매,196.6612
2012-11-05,경남,거제시,가격지수,매매,196.5837
2012-11-12,경남,거제시,가격지수,매매,196.5837
2012-11-19,경남,거제시,가격지수,매매,196.5837
2012-11-26,경남,거제시,가격지수,매매,195.8357
2012-12-03,경남,거제시,가격지수,매매,195.6795
2012-12-10,경남,거제시,가격지수,매매,195.5775
2012-12-17,경남,거제시,가격지수,매매,195.3763
2012-12-24,경남,거제시,가격지수,매매,194.9964
2012-12-31,경남,거제시,가격지수,매매,194.4199
2013-01-07,경남,거제시,가격지수,매매,194.2343
2013-01-14,경남,거제시,가격지수,매매,194.0476
2013-01-21,경남,거제시,가격지수,매매,193.86
2013-01-28,경남,거제시,가격지수,매매,193.5777
2013-02-04,경남,거제시,가격지수,매매,193.2008
2013-02-11,경남,거제시,가격지수,매매,192.9972
2013-02-18,경남,거제시,가격지수,매매,192.8365
2013-02-25,경남,거제시,가격지수,매매,192.8062
2013-03-04,경남,거제시,가격지수,매매,192.7167
2013-03-11,경남,거제시,가격지수,매매,192.6693
2013-03-18,경남,거제시,가격지수,매매,193.0982
2013-03-25,경남,거제시,가격지수,매매,193.4249
2013-04-01,경남,거제시,가격지수,매매,193.5218
2013-04-08,경남,거제시,가격지수,매매,194.0441
2013-04-15,경남,거제시,가격지수,매매,194.3182
2013-04-22,경남,거제시,가격지수,매매,194.3495
2013-04-29,경남,거제시,가격지수,매매,194.5595
2013-05-06,경남,거제시,가격지수,매매,195.0315
2013-05-13,경남,거제시,가격지수,매매,196.1013
2013-05-20,경남,거제시,가격지수,매매,196.7652
2013-05-27,경남,거제시,가격지수,매매,196.9206
2013-06-03,경남,거제시,가격지수,매매,197.0746
2013-06-10,경남,거제시,가격지수,매매,197.1419
2013-06-17,경남,거제시,가격지수,매매,197.1761
2013-06-24,경남,거제시,가격지수,매매,197.4578
2013-07-01,경남,거제시,가격지수,매매,198.8284
2013-07-08,경남,거제시,가격지수,매매,199.1021
2013-07-15,경남,거제시,가격지수,매매,199.1697
2013-07-22,경남,거제시,가격지수,매매,199.2561
2013-07-29,경남,거제시,가격지수,매매,199.3234
2013-08-05,경남,거제시,가격지수,매매,199.5758
2013-08-12,경남,거제시,가격지수,매매,199.643
2013-08-19,경남,거제시,가격지수,매매,199.643
2013-08-26,경남,거제시,가격지수,매매,199.643
2013-09-02,경남,거제시,가격지수,매매,199.7696
2013-09-09,경남,거제시,가격지수,매매,199.8365
2013-09-16,경남,거제시,가격지수,매매,199.8421
2013-09-23,경남,거제시,가격지수,매매,200.0455
2013-09-30,경남,거제시,가격지수,매매,200.6876
2013-10-07,경남,거제시,가격지수,매매,200.8911
2013-10-14,경남,거제시,가격지수,매매,201.2068
2013-10-21,경남,거제시,가격지수,매매,201.4202
2013-10-28,경남,거제시,가격지수,매매,201.7182
2013-11-04,경남,거제시,가격지수,매매,201.9848
2013-11-11,경남,거제시,가격지수,매매,202.1718
2013-11-18,경남,거제시,가격지수,매매,202.35
2013-11-25,경남,거제시,가격지수,매매,202.605
2013-12-02,경남,거제시,가격지수,매매,202.7969
2013-12-09,경남,거제시,가격지수,매매,203.0224
2013-12-16,경남,거제시,가격지수,매매,203.146
2013-12-23,경남,거제시,가격지수,매매,203.2441
2013-12-30,경남,거제시,가격지수,매매,203.3446
2014-01-06,경남,거제시,가격지수,매매,203.456
2014-01-13,경남,거제시,가격지수,매매,203.6089
2014-01-20,경남,거제시,가격지수,매매,204.24
2014-01-27,경남,거제시,가격지수,매매,204.5971
2014-02-03,경남,거제시,가격지수,매매,204.9637
2014-02-10,경남,거제시,가격지수,매매,205.1361
2014-02-17,경남,거제시,가격지수,매매,205.4598
2014-02-24,경남,거제시,가격지수,매매,205.9962
2014-03-03,경남,거제시,가격지수,매매,206.2962
2014-03-10,경남,거제시,가격지수,매매,206.8566
2014-03-17,경남,거제시,가격지수,매매,207.2981
2014-03-24,경남,거제시,가격지수,매매,207.5061
2014-03-31,경남,거제시,가격지수,매매,207.8455
2014-04-07,경남,거제시,가격지수,매매,208.1954
2014-04-14,경남,거제시,가격지수,매매,208.9945
2014-04-21,경남,거제시,가격지수,매매,209.4774
2014-04-28,경남,거제시,가격지수,매매,209.8231
2014-05-05,경남,거제시,가격지수,매매,210.0488
2014-05-12,경남,거제시,가격지수,매매,210.273
2014-05-19,경남,거제시,가격지수,매매,210.8777
2014-05-26,경남,거제시,가격지수,매매,211.2121
2014-06-02,경남,거제시,가격지수,매매,211.5383
2014-06-09,경남,거제시,가격지수,매매,211.8616
2014-06-16,경남,거제시,가격지수,매매,212.2062
2014-06-23,경남,거제시,가격지수,매매,212.4955
2014-06-30,경남,거제시,가격지수,매매,212.7645
2014-07-07,경남,거제시,가격지수,매매,213.5569
2014-07-14,경남,거제시,가격지수,매매,213.8921
2014-07-21,경남,거제시,가격지수,매매,214.915
2014-07-28,경남,거제시,가격지수,매매,215.61
2014-08-04,경남,거제시,가격지수,매매,216.4477
2014-08-11,경남,거제시,가격지수,매매,217.2927
2014-08-18,경남,거제시,가격지수,매매,217.9971
2014-08-25,경남,거제시,가격지수,매매,218.2006
2014-09-01,경남,거제시,가격지수,매매,218.4162
2014-09-08,경남,거제시,가격지수,매매,218.8239
2014-09-15,경남,거제시,가격지수,매매,219.109
2014-09-22,경남,거제시,가격지수,매매,219.445
2014-09-29,경남,거제시,가격지수,매매,219.905
2014-10-06,경남,거제시,가격지수,매매,220.3822
2014-10-13,경남,거제시,가격지수,매매,220.8943
2014-10-20,경남,거제시,가격지수,매매,221.5482
2014-10-27,경남,거제시,가격지수,매매,221.9087
2014-11-03,경남,거제시,가격지수,매매,222.195
2014-11-10,경남,거제시,가격지수,매매,222.5872
2014-11-17,경남,거제시,가격지수,매매,222.8521
2014-11-24,경남,거제시,가격지수,매매,223.0998
2014-12-01,경남,거제시,가격지수,매매,223.4227
2014-12-08,경남,거제시,가격지수,매매,223.6441
2014-12-15,경남,거제시,가격지수,매매,223.7481
2014-12-22,경남,거제시,가격지수,매매,223.9822
2014-12-29,경남,거제시,가격지수,매매,224.1164
2015-01-05,경남,거제시,가격지수,매매,224.3443
2015-01-12,경남,거제시,가격지수,매매,224.4424
2015-01-19,경남,거제시,가격지수,매매,224.5397
2015-01-26,경남,거제시,가격지수,매매,224.7317
2015-02-02,경남,거제시,가격지수,매매,224.8294
2015-02-09,경남,거제시,가격지수,매매,225.0151
2015-02-16,경남,거제시,가격지수,매매,224.8506
2015-02-23,경남,거제시,가격지수,매매,224.7467
2015-03-02,경남,거제시,가격지수,매매,224.6423
2015-03-09,경남,거제시,가격지수,매매,224.4444
2015-03-16,경남,거제시,가격지수,매매,224.2697
