날짜,시도,시군구,지표,거래구분,값
2012-05-07,인천,계양구,가격지수,매매,83.1586
2012-05-14,인천,계양구,가격지수,매매,82.9379
2012-05-21,인천,계양구,가격지수,매매,82.9081
2012-05-28,인천,계양구,가격지수,매매,82.8199
2012-06-04,인천,계양구,가격지수,매매,82.3527
2012-06-11,인천,계양구,가격지수,매매,82.2466
2012-06-18,인천,계양구,가격지수,매매,82.2271
2012-06-25,인천,계양구,가격지수,매매,82.161
2012-07-02,인천,계양구,가격지수,매매,81.8912
2012-07-09,인천,계양구,가격지수,매매,81.3981
2012-07-16,인천,계양구,가격지수,매매,81.3981
2012-07-23,인천,계양구,가격지수,매매,81.0907
2012-07-30,인천,계양구,가격지수,매매,80.95
2012-08-06,인천,계양구,가격지수,매매,80.9088
2012-08-13,인천,계양구,가격지수,매매,80.8274
2012-08-20,인천,계양구,가격지수,매매,80.8088
2012-08-27,인천,계양구,가격지수,매매,80.8088
2012-09-03,인천,계양구,가격지수,매매,80.7488
2012-09-10,인천,계양구,가격지수,매매,80.5428
2012-09-17,인천,계양구,가격지수,매매,80.4262
2012-09-24,인천,계양구,가격지수,매매,80.1903
2012-10-01,인천,계양구,가격지수,매매,80.2267
2012-10-08,인천,계양구,가격지수,매매,80.0644
2012-10-15,인천,계양구,가격지수,매매,80.1825
2012-10-22,인천,계양구,가격지수,매매,80.2314
2012-10-29,인천,계양구,가격지수,매매,80.1304
2012-11-05,인천,계양구,가격지수,매매,80.1537
2012-11-12,인천,계양구,가격지수,매매,80.1156
2012-11-19,인천,계양구,가격지수,매매,79.9087
2012-11-26,인천,계양구,가격지수,매매,79.7936
2012-12-03,인천,계양구,가격지수,매매,79.7377
2012-12-10,인천,계양구,가격지수,매매,79.5606
2012-12-17,인천,계양구,가격지수,매매,79.4305
2012-12-24,인천,계양구,가격지수,매매,79.3424
2012-12-31,인천,계양구,가격지수,매매,79.2653
2013-01-07,인천,계양구,가격지수,매매,79.2653
2013-01-14,인천,계양구,가격지수,매매,79.0941
2013-01-21,인천,계양구,가격지수,매매,78.9598
2013-01-28,인천,계양구,가격지수,매매,78.9245
2013-02-04,인천,계양구,가격지수,매매,78.8136
2013-02-11,인천,계양구,가격지수,매매,78.716
2013-02-18,인천,계양구,가격지수,매매,78.6849
2013-02-25,인천,계양구,가격지수,매매,78.622
2013-03-04,인천,계양구,가격지수,매매,78.539
2013-03-11,인천,계양구,가격지수,매매,78.4831
2013-03-18,인천,계양구,가격지수,매매,78.4773
2013-03-25,인천,계양구,가격지수,매매,78.6558
2013-04-01,인천,계양구,가격지수,매매,78.7893
2013-04-08,인천,계양구,가격지수,매매,78.8767
2013-04-15,인천,계양구,가격지수,매매,78.8981
2013-04-22,인천,계양구,가격지수,매매,78.7479
2013-04-29,인천,계양구,가격지수,매매,78.6454
2013-05-06,인천,계양구,가격지수,매매,78.6657
2013-05-13,인천,계양구,가격지수,매매,78.7293
2013-05-20,인천,계양구,가격지수,매매,78.7293
2013-05-27,인천,계양구,가격지수,매매,78.6776
2013-06-03,인천,계양구,가격지수,매매,78.8257
2013-06-10,인천,계양구,가격지수,매매,78.8566
2013-06-17,인천,계양구,가격지수,매매,78.8471
2013-06-24,인천,계양구,가격지수,매매,78.7681
2013-07-01,인천,계양구,가격지수,매매,78.7203
2013-07-08,인천,계양구,가격지수,매매,78.5962
2013-07-15,인천,계양구,가격지수,매매,78.6284
2013-07-22,인천,계양구,가격지수,매매,78.6161
2013-07-29,인천,계양구,가격지수,매매,78.6335
2013-08-05,인천,계양구,가격지수,매매,78.6799
2013-08-12,인천,계양구,가격지수,매매,78.6285
2013-08-19,인천,계양구,가격지수,매매,78.6285
2013-08-26,인천,계양구,가격지수,매매,78.6718
2013-09-02,인천,계양구,가격지수,매매,78.7137
2013-09-09,인천,계양구,가격지수,매매,78.5088
2013-09-16,인천,계양구,가격지수,매매,78.5539
2013-09-23,인천,계양구,가격지수,매매,78.7015
2013-09-30,인천,계양구,가격지수,매매,79.1019
2013-10-07,인천,계양구,가격지수,매매,79.3849
2013-10-14,인천,계양구,가격지수,매매,79.5363
2013-10-21,인천,계양구,가격지수,매매,79.7569
2013-10-28,인천,계양구,가격지수,매매,79.9341
2013-11-04,인천,계양구,가격지수,매매,80.0305
2013-11-11,인천,계양구,가격지수,매매,80.1319
2013-11-18,인천,계양구,가격지수,매매,80.2326
2013-11-25,인천,계양구,가격지수,매매,80.1303
2013-12-02,인천,계양구,가격지수,매매,80.2947
2013-12-09,인천,계양구,가격지수,매매,80.3446
2013-12-16,인천,계양구,가격지수,매매,80.7171
2013-12-23,인천,계양구,가격지수,매매,81.1105
2013-12-30,인천,계양구,가격지수,매매,81.0925
2014-01-06,인천,계양구,가격지수,매매,81.0541
2014-01-13,인천,계양구,가격지수,매매,81.0682
2014-01-20,인천,계양구,가격지수,매매,81.03
2014-01-27,인천,계양구,가격지수,매매,81.189
2014-02-03,인천,계양구,가격지수,매매,81.2146
2014-02-10,인천,계양구,가격지수,매매,81.3684
2014-02-17,인천,계양구,가격지수,매매,81.3405
2014-02-24,인천,계양구,가격지수,매매,81.6147
2014-03-03,인천,계양구,가격지수,매매,81.7929
2014-03-10,인천,계양구,가격지수,매매,81.8208
2014-03-17,인천,계양구,가격지수,매매,81.792
2014-03-24,인천,계양구,가격지수,매매,81.7726
2014-03-31,인천,계양구,가격지수,매매,81.7208
2014-04-07,인천,계양구,가격지수,매매,81.5048
2014-04-14,인천,계양구,가격지수,매매,81.4375
2014-04-21,인천,계양구,가격지수,매매,81.452
2014-04-28,인천,계양구,가격지수,매매,81.4712
2014-05-05,인천,계양구,가격지수,매매,81.4655
2014-05-12,인천,계양구,가격지수,매매,81.6074
2014-05-19,인천,계양구,가격지수,매매,81.6176
2014-05-26,인천,계양구,가격지수,매매,81.6684
2014-06-02,인천,계양구,가격지수,매매,81.6363
2014-06-09,인천,계양구,가격지수,매매,81.5981
2014-06-16,인천,계양구,가격지수,매매,81.6491
2014-06-23,인천,계양구,가격지수,매매,81.6456
2014-06-30,인천,계양구,가격지수,매매,81.6279
2014-07-07,인천,계양구,가격지수,매매,81.7507
2014-07-14,인천,계양구,가격지수,매매,81.7755
2014-07-21,인천,계양구,가격지수,매매,81.8899
2014-07-28,인천,계양구,가격지수,매매,82.0621
2014-08-04,인천,계양구,가격지수,매매,82.0691
2014-08-11,인천,계양구,가격지수,매매,82.169
2014-08-18,인천,계양구,가격지수,매매,82.1934
2014-08-25,인천,계양구,가격지수,매매,82.3156
2014-09-01,인천,계양구,가격지수,매매,82.4275
2014-09-08,인천,계양구,가격지수,매매,82.5297
2014-09-15,인천,계양구,가격지수,매매,82.5865
2014-09-22,인천,계양구,가격지수,매매,82.6042
2014-09-29,인천,계양구,가격지수,매매,82.7288
2014-10-06,인천,계양구,가격지수,매매,82.8365
2014-10-13,인천,계양구,가격지수,매매,82.8671
2014-10-20,인천,계양구,가격지수,매매,82.96
2014-10-27,인천,계양구,가격지수,매매,82.9932
2014-11-03,인천,계양구,가격지수,매매,83.0535
2014-11-10,인천,계양구,가격지수,매매,83.0551
2014-11-17,인천,계양구,가격지수,매매,83.0551
2014-11-24,인천,계양구,가격지수,매매,83.088
2014-12-01,인천,계양구,가격지수,매매,83.1693
2014-12-08,인천,계양구,가격지수,매매,83.2248
2014-12-15,인천,계양구,가격지수,매매,83.2442
2014-12-22,인천,계양구,가격지수,매매,83.3633
2014-12-29,인천,계양구,가격지수,매매,83.3827
2015-01-05,인천,계양구,가격지수,매매,83.3472
2015-01-12,인천,계양구,가격지수,매매,83.3689
2015-01-19,인천,계양구,가격지수,매매,83.4082
2015-01-26,인천,계양구,가격지수,매매,83.4473
2015-02-02,인천,계양구,가격지수,매매,83.5723
2015-02-09,인천,계양구,가격지수,매매,83.6536
2015-02-16,인천,계양구,가격지수,매매,83.689
2015-02-23,인천,계양구,가격지수,매매,83.7088
2015-03-02,인천,계양구,가격지수,매매,83.7605
2015-03-09,인천,계양구,가격지수,매매,83.8042
2015-03-16,인천,계양구,가격지수,매매,83.8657
2015-03-23,인천,계양구,가격지수,매매,83.9399
2015-03-30,인천,계양구,가격지수,매매,84.0114
