날짜,시도,시군구,지표,거래구분,값
2012-05-07,제주,서귀포시,가격지수,매매,82.2305
2012-05-14,제주,서귀포시,가격지수,매매,82.123
2012-05-21,제주,서귀포시,가격지수,매매,82.123
2012-05-28,제주,서귀포시,가격지수,매매,82.123
2012-06-04,제주,서귀포시,가격지수,매매,82.123
2012-06-11,제주,서귀포시,가격지수,매매,82.123
2012-06-18,제주,서귀포시,가격지수,매매,82.123
2012-06-25,제주,서귀포시,가격지수,매매,82.123
2012-07-02,제주,서귀포시,가격지수,매매,82.123
2012-07-09,제주,서귀포시,가격지수,매매,82.123
2012-07-16,제주,서귀포시,가격지수,매매,82.123
2012-07-23,제주,서귀포시,가격지수,매매,82.123
2012-07-30,제주,서귀포시,가격지수,매매,82.123
2012-08-06,제주,서귀포시,가격지수,매매,82.0293
2012-08-13,제주,서귀포시,가격지수,매매,81.9663
2012-08-20,제주,서귀포시,가격지수,매매,81.9663
2012-08-27,제주,서귀포시,가격지수,매매,81.9663
2012-09-03,제주,서귀포시,가격지수,매매,81.9663
2012-09-10,제주,서귀포시,가격지수,매매,81.9663
2012-09-17,제주,서귀포시,가격지수,매매,81.9663
2012-09-24,제주,서귀포시,가격지수,매매,81.9663
2012-10-01,제주,서귀포시,가격지수,매매,81.9663
2012-10-08,제주,서귀포시,가격지수,매매,81.9663
2012-10-15,제주,서귀포시,가격지수,매매,81.9663
2012-10-22,제주,서귀포시,가격지수,매매,81.9663
2012-10-29,제주,서귀포시,가격지수,매매,81.9663
2012-11-05,제주,서귀포시,가격지수,매매,81.9663
2012-11-12,제주,서귀포시,가격지수,매매,81.9663
2012-11-19,제주,서귀포시,가격지수,매매,81.9663
2012-11-26,제주,서귀포시,가격지수,매매,81.9663
2012-12-03,제주,서귀포시,가격지수,매매,81.9663
2012-12-10,제주,서귀포시,가격지수,매매,81.9663
2012-12-17,제주,서귀포시,가격지수,매매,81.9663
2012-12-24,제주,서귀포시,가격지수,매매,81.9663
2012-12-31,제주,서귀포시,가격지수,매매,81.9663
2013-01-07,제주,서귀포시,가격지수,매매,81.9663
2013-01-14,제주,서귀포시,가격지수,매매,81.9663
2013-01-21,제주,서귀포시,가격지수,매매,81.9663
2013-01-28,제주,서귀포시,가격지수,매매,81.8762
2013-02-04,제주,서귀포시,가격지수,매매,81.8762
2013-02-11,제주,서귀포시,가격지수,매매,81.8762
2013-02-18,제주,서귀포시,가격지수,매매,81.8762
2013-02-25,제주,서귀포시,가격지수,매매,81.8762
2013-03-04,제주,서귀포시,가격지수,매매,81.8762
2013-03-11,제주,서귀포시,가격지수,매매,81.8762
2013-03-18,제주,서귀포시,가격지수,매매,81.8762
2013-03-25,제주,서귀포시,가격지수,매매,81.8762
2013-04-01,제주,서귀포시,가격지수,매매,81.8762
2013-04-08,제주,서귀포시,가격지수,매매,81.8762
2013-04-15,제주,서귀포시,가격지수,매매,81.9733
2013-04-22,제주,서귀포시,가격지수,매매,82.0152
2013-04-29,제주,서귀포시,가격지수,매매,82.0152
2013-05-06,제주,서귀포시,가격지수,매매,81.9418
2013-05-13,제주,서귀포시,가격지수,매매,81.8639
2013-05-20,제주,서귀포시,가격지수,매매,81.8639
2013-05-27,제주,서귀포시,가격지수,매매,81.7854
2013-06-03,제주,서귀포시,가격지수,매매,81.7854
2013-06-10,제주,서귀포시,가격지수,매매,81.893
2013-06-17,제주,서귀포시,가격지수,매매,81.893
2013-06-24,제주,서귀포시,가격지수,매매,81.8501
2013-07-01,제주,서귀포시,가격지수,매매,81.8395
2013-07-08,제주,서귀포시,가격지수,매매,81.9195
2013-07-15,제주,서귀포시,가격지수,매매,82.0565
2013-07-22,제주,서귀포시,가격지수,매매,82.0565
2013-07-29,제주,서귀포시,가격지수,매매,82.1182
2013-08-05,제주,서귀포시,가격지수,매매,82.1499
2013-08-12,제주,서귀포시,가격지수,매매,81.9538
2013-08-19,제주,서귀포시,가격지수,매매,81.9538
2013-08-26,제주,서귀포시,가격지수,매매,81.9386
2013-09-02,제주,서귀포시,가격지수,매매,81.9386
2013-09-09,제주,서귀포시,가격지수,매매,81.8018
2013-09-16,제주,서귀포시,가격지수,매매,81.687
2013-09-23,제주,서귀포시,가격지수,매매,81.6396
2013-09-30,제주,서귀포시,가격지수,매매,81.6842
2013-10-07,제주,서귀포시,가격지수,매매,81.6842
2013-10-14,제주,서귀포시,가격지수,매매,81.6842
2013-10-21,제주,서귀포시,가격지수,매매,81.8303
2013-10-28,제주,서귀포시,가격지수,매매,81.8509
2013-11-04,제주,서귀포시,가격지수,매매,81.9956
2013-11-11,제주,서귀포시,가격지수,매매,81.9956
2013-11-18,제주,서귀포시,가격지수,매매,82.2379
2013-11-25,제주,서귀포시,가격지수,매매,82.3307
2013-12-02,제주,서귀포시,가격지수,매매,82.4907
