날짜,시도,시군구,지표,거래구분,값
2012-05-07,전북,군산시,가격지수,매매,125.8805
2012-05-14,전북,군산시,가격지수,매매,125.8805
2012-05-21,전북,군산시,가격지수,매매,125.8805
2012-05-28,전북,군산시,가격지수,매매,125.8805
2012-06-04,전북,군산시,가격지수,매매,125.7234
2012-06-11,전북,군산시,가격지수,매매,125.8328
2012-06-18,전북,군산시,가격지수,매매,125.8328
2012-06-25,전북,군산시,가격지수,매매,125.1175
2012-07-02,전북,군산시,가격지수,매매,124.5597
2012-07-09,전북,군산시,가격지수,매매,124.5597
2012-07-16,전북,군산시,가격지수,매매,124.2673
2012-07-23,전북,군산시,가격지수,매매,124.6253
2012-07-30,전북,군산시,가격지수,매매,124.6253
2012-08-06,전북,군산시,가격지수,매매,124.5298
2012-08-13,전북,군산시,가격지수,매매,124.6345
2012-08-20,전북,군산시,가격지수,매매,124.7721
2012-08-27,전북,군산시,가격지수,매매,124.855
2012-09-03,전북,군산시,가격지수,매매,125.0482
2012-09-10,전북,군산시,가격지수,매매,124.3771
2012-09-17,전북,군산시,가격지수,매매,124.2206
2012-09-24,전북,군산시,가격지수,매매,124.7278
2012-10-01,전북,군산시,가격지수,매매,124.6844
2012-10-08,전북,군산시,가격지수,매매,124.4262
2012-10-15,전북,군산시,가격지수,매매,124.2489
2012-10-22,전북,군산시,가격지수,매매,124.0935
2012-10-29,전북,군산시,가격지수,매매,123.9445
2012-11-05,전북,군산시,가격지수,매매,123.7551
2012-11-12,전북,군산시,가격지수,매매,123.5238
2012-11-19,전북,군산시,가격지수,매매,123.3662
2012-11-26,전북,군산시,가격지수,매매,123.233
2012-12-03,전북,군산시,가격지수,매매,123.0642
2012-12-10,전북,군산시,가격지수,매매,122.5237
2012-12-17,전북,군산시,가격지수,매매,122.1758
2012-12-24,전북,군산시,가격지수,매매,122.007
2012-12-31,전북,군산시,가격지수,매매,121.8267
2013-01-07,전북,군산시,가격지수,매매,121.6095
2013-01-14,전북,군산시,가격지수,매매,121.5149
2013-01-21,전북,군산시,가격지수,매매,121.2954
2013-01-28,전북,군산시,가격지수,매매,120.9742
2013-02-04,전북,군산시,가격지수,매매,120.9301
2013-02-11,전북,군산시,가격지수,매매,120.6971
2013-02-18,전북,군산시,가격지수,매매,120.6653
2013-02-25,전북,군산시,가격지수,매매,120.5219
2013-03-04,전북,군산시,가격지수,매매,120.423
2013-03-11,전북,군산시,가격지수,매매,120.3725
2013-03-18,전북,군산시,가격지수,매매,120.3804
2013-03-25,전북,군산시,가격지수,매매,120.3711
