날짜,시도,시군구,지표,거래구분,값
2012-05-07,전남,광양시,가격지수,매매,118.4401
2012-05-14,전남,광양시,가격지수,매매,118.4401
2012-05-21,전남,광양시,가격지수,매매,118.2112
2012-05-28,전남,광양시,가격지수,매매,118.2112
2012-06-04,전남,광양시,가격지수,매매,118.2112
2012-06-11,전남,광양시,가격지수,매매,118.2112
2012-06-18,전남,광양시,가격지수,매매,118.2112
2012-06-25,전남,광양시,가격지수,매매,118.1097
2012-07-02,전남,광양시,가격지수,매매,117.9928
2012-07-09,전남,광양시,가격지수,매매,117.9928
2012-07-16,전남,광양시,가격지수,매매,117.9928
2012-07-23,전남,광양시,가격지수,매매,117.9928
2012-07-30,전남,광양시,가격지수,매매,117.9652
2012-08-06,전남,광양시,가격지수,매매,117.9652
2012-08-13,전남,광양시,가격지수,매매,117.9935
2012-08-20,전남,광양시,가격지수,매매,117.9935
2012-08-27,전남,광양시,가격지수,매매,117.9935
2012-09-03,전남,광양시,가격지수,매매,117.9461
2012-09-10,전남,광양시,가격지수,매매,117.9461
2012-09-17,전남,광양시,가격지수,매매,117.9461
2012-09-24,전남,광양시,가격지수,매매,117.9461
2012-10-01,전남,광양시,가격지수,매매,117.9461
2012-10-08,전남,광양시,가격지수,매매,117.9461
2012-10-15,전남,광양시,가격지수,매매,117.9461
2012-10-22,전남,광양시,가격지수,매매,117.9461
2012-10-29,전남,광양시,가격지수,매매,117.9461
2012-11-05,전남,광양시,가격지수,매매,117.9461
2012-11-12,전남,광양시,가격지수,매매,117.9461
2012-11-19,전남,광양시,가격지수,매매,117.9478
2012-11-26,전남,광양시,가격지수,매매,117.9235
2012-12-03,전남,광양시,가격지수,매매,117.9235
2012-12-10,전남,광양시,가격지수,매매,117.5223
2012-12-17,전남,광양시,가격지수,매매,117.4492
2012-12-24,전남,광양시,가격지수,매매,117.4492
2012-12-31,전남,광양시,가격지수,매매,117.1327
2013-01-07,전남,광양시,가격지수,매매,117.1327
2013-01-14,전남,광양시,가격지수,매매,117.1925
2013-01-21,전남,광양시,가격지수,매매,116.9159
2013-01-28,전남,광양시,가격지수,매매,116.6068
2013-02-04,전남,광양시,가격지수,매매,116.2116
2013-02-11,전남,광양시,가격지수,매매,116.0196
2013-02-18,전남,광양시,가격지수,매매,115.9641
2013-02-25,전남,광양시,가격지수,매매,115.9147
2013-03-04,전남,광양시,가격지수,매매,115.8041
2013-03-11,전남,광양시,가격지수,매매,115.7775
2013-03-18,전남,광양시,가격지수,매매,115.7012
2013-03-25,전남,광양시,가격지수,매매,115.5692
2013-04-01,전남,광양시,가격지수,매매,115.517
2013-04-08,전남,광양시,가격지수,매매,115.4796
2013-04-15,전남,광양시,가격지수,매매,115.3938
2013-04-22,전남,광양시,가격지수,매매,115.3572
2013-04-29,전남,광양시,가격지수,매매,115.3252
2013-05-06,전남,광양시,가격지수,매매,115.3252
2013-05-13,전남,광양시,가격지수,매매,115.2786
2013-05-20,전남,광양시,가격지수,매매,115.2659
2013-05-27,전남,광양시,가격지수,매매,115.1593
2013-06-03,전남,광양시,가격지수,매매,115.0837
2013-06-10,전남,광양시,가격지수,매매,115.0813
2013-06-17,전남,광양시,가격지수,매매,115.0515
2013-06-24,전남,광양시,가격지수,매매,115.012
2013-07-01,전남,광양시,가격지수,매매,114.9354
2013-07-08,전남,광양시,가격지수,매매,114.8887
2013-07-15,전남,광양시,가격지수,매매,114.7179
2013-07-22,전남,광양시,가격지수,매매,114.5978
2013-07-29,전남,광양시,가격지수,매매,114.4121
2013-08-05,전남,광양시,가격지수,매매,114.3313
2013-08-12,전남,광양시,가격지수,매매,114.1861
2013-08-19,전남,광양시,가격지수,매매,114.0982
2013-08-26,전남,광양시,가격지수,매매,114.0444
2013-09-02,전남,광양시,가격지수,매매,113.9767
2013-09-09,전남,광양시,가격지수,매매,113.7939
2013-09-16,전남,광양시,가격지수,매매,113.7305
2013-09-23,전남,광양시,가격지수,매매,113.5392
2013-09-30,전남,광양시,가격지수,매매,113.4664
2013-10-07,전남,광양시,가격지수,매매,113.4905
2013-10-14,전남,광양시,가격지수,매매,113.416
2013-10-21,전남,광양시,가격지수,매매,113.3153
2013-10-28,전남,광양시,가격지수,매매,113.1683
2013-11-04,전남,광양시,가격지수,매매,113.0147
2013-11-11,전남,광양시,가격지수,매매,112.8402
2013-11-18,전남,광양시,가격지수,매매,112.7492
2013-11-25,전남,광양시,가격지수,매매,112.5923
2013-12-02,전남,광양시,가격지수,매매,112.4375
2013-12-09,전남,광양시,가격지수,매매,112.2925
2013-12-16,전남,광양시,가격지수,매매,112.2124
2013-12-23,전남,광양시,가격지수,매매,112.2741
2013-12-30,전남,광양시,가격지수,매매,112.1785
2014-01-06,전남,광양시,가격지수,매매,112.0853
2014-01-13,전남,광양시,가격지수,매매,112.0747
2014-01-20,전남,광양시,가격지수,매매,112.0071
2014-01-27,전남,광양시,가격지수,매매,111.9481
2014-02-03,전남,광양시,가격지수,매매,111.9038
2014-02-10,전남,광양시,가격지수,매매,111.8273
2014-02-17,전남,광양시,가격지수,매매,111.7813
2014-02-24,전남,광양시,가격지수,매매,111.7235
2014-03-03,전남,광양시,가격지수,매매,111.6794
2014-03-10,전남,광양시,가격지수,매매,111.6305
2014-03-17,전남,광양시,가격지수,매매,111.5968
2014-03-24,전남,광양시,가격지수,매매,111.5375
2014-03-31,전남,광양시,가격지수,매매,111.4849
2014-04-07,전남,광양시,가격지수,매매,111.3963
2014-04-14,전남,광양시,가격지수,매매,111.3695
2014-04-21,전남,광양시,가격지수,매매,111.3016
2014-04-28,전남,광양시,가격지수,매매,111.1175
2014-05-05,전남,광양시,가격지수,매매,110.987
2014-05-12,전남,광양시,가격지수,매매,110.9008
2014-05-19,전남,광양시,가격지수,매매,110.707
2014-05-26,전남,광양시,가격지수,매매,110.4626
2014-06-02,전남,광양시,가격지수,매매,110.1677
2014-06-09,전남,광양시,가격지수,매매,109.9327
2014-06-16,전남,광양시,가격지수,매매,109.6009
2014-06-23,전남,광양시,가격지수,매매,109.3372
2014-06-30,전남,광양시,가격지수,매매,109.0948
2014-07-07,전남,광양시,가격지수,매매,108.9663
2014-07-14,전남,광양시,가격지수,매매,108.5991
2014-07-21,전남,광양시,가격지수,매매,108.2831
2014-07-28,전남,광양시,가격지수,매매,107.9082
2014-08-04,전남,광양시,가격지수,매매,107.7646
2014-08-11,전남,광양시,가격지수,매매,107.5771
2014-08-18,전남,광양시,가격지수,매매,107.4258
2014-08-25,전남,광양시,가격지수,매매,107.3408
2014-09-01,전남,광양시,가격지수,매매,107.166
2014-09-08,전남,광양시,가격지수,매매,106.8647
2014-09-15,전남,광양시,가격지수,매매,106.6553
2014-09-22,전남,광양시,가격지수,매매,106.4873
2014-09-29,전남,광양시,가격지수,매매,106.3607
2014-10-06,전남,광양시,가격지수,매매,106.2916
2014-10-13,전남,광양시,가격지수,매매,106.1431
2014-10-20,전남,광양시,가격지수,매매,106.0684
2014-10-27,전남,광양시,가격지수,매매,105.9705
2014-11-03,전남,광양시,가격지수,매매,105.884
2014-11-10,전남,광양시,가격지수,매매,105.7367
2014-11-17,전남,광양시,가격지수,매매,105.7086
2014-11-24,전남,광양시,가격지수,매매,105.5139
2014-12-01,전남,광양시,가격지수,매매,105.4338
2014-12-08,전남,광양시,가격지수,매매,105.3219
2014-12-15,전남,광양시,가격지수,매매,105.2818
2014-12-22,전남,광양시,가격지수,매매,105.2281
2014-12-29,전남,광양시,가격지수,매매,105.1316
2015-01-05,전남,광양시,가격지수,매매,105.061
2015-01-12,전남,광양시,가격지수,매매,104.7987
2015-01-19,전남,광양시,가격지수,매매,104.6843
2015-01-26,전남,광양시,가격지수,매매,104.5082
2015-02-02,전남,광양시,가격지수,매매,104.3336
2015-02-09,전남,광양시,가격지수,매매,104.1944
2015-02-16,전남,광양시,가격지수,매매,104.1519
2015-02-23,전남,광양시,가격지수,매매,104.1443
2015-03-02,전남,광양시,가격지수,매매,104.1279
2015-03-09,전남,광양시,가격지수,매매,104.1279
2015-03-16,전남,광양시,가격지수,매매,104.1731
