날짜,시도,시군구,지표,거래구분,값
2012-05-07,서울,강남구,가격지수,매매,62.9704
2012-05-14,서울,강남구,가격지수,매매,62.8628
2012-05-21,서울,강남구,가격지수,매매,62.8415
2012-05-28,서울,강남구,가격지수,매매,62.7731
2012-06-04,서울,강남구,가격지수,매매,62.6483
2012-06-11,서울,강남구,가격지수,매매,61.8165
2012-06-18,서울,강남구,가격지수,매매,61.7019
2012-06-25,서울,강남구,가격지수,매매,61.5606
2012-07-02,서울,강남구,가격지수,매매,61.489
2012-07-09,서울,강남구,가격지수,매매,61.4614
2012-07-16,서울,강남구,가격지수,매매,61.3142
2012-07-23,서울,강남구,가격지수,매매,60.8517
2012-07-30,서울,강남구,가격지수,매매,60.8247
2012-08-06,서울,강남구,가격지수,매매,60.2521
2012-08-13,서울,강남구,가격지수,매매,60.0899
2012-08-20,서울,강남구,가격지수,매매,59.7802
2012-08-27,서울,강남구,가격지수,매매,59.5109
2012-09-03,서울,강남구,가격지수,매매,59.4147
2012-09-10,서울,강남구,가격지수,매매,59.0444
2012-09-17,서울,강남구,가격지수,매매,58.649
2012-09-24,서울,강남구,가격지수,매매,58.2042
2012-10-01,서울,강남구,가격지수,매매,58.019
2012-10-08,서울,강남구,가격지수,매매,58.0436
2012-10-15,서울,강남구,가격지수,매매,58.068
2012-10-22,서울,강남구,가격지수,매매,58.0467
2012-10-29,서울,강남구,가격지수,매매,57.8443
2012-11-05,서울,강남구,가격지수,매매,57.7837
2012-11-12,서울,강남구,가격지수,매매,57.8096
2012-11-19,서울,강남구,가격지수,매매,57.7385
2012-11-26,서울,강남구,가격지수,매매,57.4514
2012-12-03,서울,강남구,가격지수,매매,57.1802
2012-12-10,서울,강남구,가격지수,매매,56.9912
2012-12-17,서울,강남구,가격지수,매매,56.7225
2012-12-24,서울,강남구,가격지수,매매,56.3885
2012-12-31,서울,강남구,가격지수,매매,56.2441
2013-01-07,서울,강남구,가격지수,매매,56.2269
2013-01-14,서울,강남구,가격지수,매매,56.0937
2013-01-21,서울,강남구,가격지수,매매,55.9421
2013-01-28,서울,강남구,가격지수,매매,56.0261
2013-02-04,서울,강남구,가격지수,매매,55.984
2013-02-11,서울,강남구,가격지수,매매,55.8921
2013-02-18,서울,강남구,가격지수,매매,55.8516
2013-02-25,서울,강남구,가격지수,매매,55.8409
2013-03-04,서울,강남구,가격지수,매매,55.9964
2013-03-11,서울,강남구,가격지수,매매,56.0653
2013-03-18,서울,강남구,가격지수,매매,56.0556
2013-03-25,서울,강남구,가격지수,매매,56.0463
2013-04-01,서울,강남구,가격지수,매매,56.1047
2013-04-08,서울,강남구,가격지수,매매,56.266
2013-04-15,서울,강남구,가격지수,매매,56.4579
2013-04-22,서울,강남구,가격지수,매매,56.4813
2013-04-29,서울,강남구,가격지수,매매,56.6396
