날짜,시도,시군구,지표,거래구분,값
2012-05-07,울산,남구,가격지수,매매,85.6811
2012-05-14,울산,남구,가격지수,매매,86.0422
2012-05-21,울산,남구,가격지수,매매,86.1658
2012-05-28,울산,남구,가격지수,매매,86.3856
2012-06-04,울산,남구,가격지수,매매,86.0738
2012-06-11,울산,남구,가격지수,매매,85.9534
2012-06-18,울산,남구,가격지수,매매,85.3831
2012-06-25,울산,남구,가격지수,매매,84.8058
2012-07-02,울산,남구,가격지수,매매,84.4696
2012-07-09,울산,남구,가격지수,매매,84.0478
2012-07-16,울산,남구,가격지수,매매,83.9712
2012-07-23,울산,남구,가격지수,매매,83.8069
2012-07-30,울산,남구,가격지수,매매,83.7862
2012-08-06,울산,남구,가격지수,매매,83.7042
2012-08-13,울산,남구,가격지수,매매,83.6908
2012-08-20,울산,남구,가격지수,매매,83.7865
2012-08-27,울산,남구,가격지수,매매,83.6279
2012-09-03,울산,남구,가격지수,매매,83.3447
2012-09-10,울산,남구,가격지수,매매,83.3493
2012-09-17,울산,남구,가격지수,매매,83.3276
2012-09-24,울산,남구,가격지수,매매,83.2441
2012-10-01,울산,남구,가격지수,매매,83.2102
2012-10-08,울산,남구,가격지수,매매,83.1044
2012-10-15,울산,남구,가격지수,매매,83.2934
2012-10-22,울산,남구,가격지수,매매,83.3364
2012-10-29,울산,남구,가격지수,매매,83.3649
2012-11-05,울산,남구,가격지수,매매,83.6279
2012-11-12,울산,남구,가격지수,매매,83.7504
2012-11-19,울산,남구,가격지수,매매,83.6871
2012-11-26,울산,남구,가격지수,매매,83.2355
2012-12-03,울산,남구,가격지수,매매,83.149
2012-12-10,울산,남구,가격지수,매매,83.1505
2012-12-17,울산,남구,가격지수,매매,83.1251
2012-12-24,울산,남구,가격지수,매매,83.1077
2012-12-31,울산,남구,가격지수,매매,83.1173
2013-01-07,울산,남구,가격지수,매매,83.1487
2013-01-14,울산,남구,가격지수,매매,82.9924
2013-01-21,울산,남구,가격지수,매매,82.9286
2013-01-28,울산,남구,가격지수,매매,82.8726
2013-02-04,울산,남구,가격지수,매매,82.8726
2013-02-11,울산,남구,가격지수,매매,82.789
2013-02-18,울산,남구,가격지수,매매,82.7535
2013-02-25,울산,남구,가격지수,매매,82.6801
2013-03-04,울산,남구,가격지수,매매,82.6208
2013-03-11,울산,남구,가격지수,매매,82.6058
2013-03-18,울산,남구,가격지수,매매,82.5942
2013-03-25,울산,남구,가격지수,매매,82.6829
2013-04-01,울산,남구,가격지수,매매,82.7186
2013-04-08,울산,남구,가격지수,매매,82.7477
2013-04-15,울산,남구,가격지수,매매,82.7819
2013-04-22,울산,남구,가격지수,매매,82.8039
2013-04-29,울산,남구,가격지수,매매,82.8095
2013-05-06,울산,남구,가격지수,매매,82.8509
2013-05-13,울산,남구,가격지수,매매,82.8649
2013-05-20,울산,남구,가격지수,매매,82.8796
2013-05-27,울산,남구,가격지수,매매,82.8947
2013-06-03,울산,남구,가격지수,매매,82.9002
2013-06-10,울산,남구,가격지수,매매,82.9086
2013-06-17,울산,남구,가격지수,매매,82.917
2013-06-24,울산,남구,가격지수,매매,82.9223
2013-07-01,울산,남구,가격지수,매매,82.9232
2013-07-08,울산,남구,가격지수,매매,82.9223
2013-07-15,울산,남구,가격지수,매매,82.8797
2013-07-22,울산,남구,가격지수,매매,82.8649
2013-07-29,울산,남구,가격지수,매매,82.8452
2013-08-05,울산,남구,가격지수,매매,82.7853
2013-08-12,울산,남구,가격지수,매매,82.6763
2013-08-19,울산,남구,가격지수,매매,82.6281
2013-08-26,울산,남구,가격지수,매매,82.5794
2013-09-02,울산,남구,가격지수,매매,82.509
2013-09-09,울산,남구,가격지수,매매,82.5325
2013-09-16,울산,남구,가격지수,매매,82.5706
2013-09-23,울산,남구,가격지수,매매,82.6419
2013-09-30,울산,남구,가격지수,매매,82.7416
2013-10-07,울산,남구,가격지수,매매,82.8125
2013-10-14,울산,남구,가격지수,매매,82.8393
2013-10-21,울산,남구,가격지수,매매,82.9379
2013-10-28,울산,남구,가격지수,매매,83.0156
2013-11-04,울산,남구,가격지수,매매,83.1369
2013-11-11,울산,남구,가격지수,매매,83.2295
2013-11-18,울산,남구,가격지수,매매,83.3215
2013-11-25,울산,남구,가격지수,매매,83.3661
2013-12-02,울산,남구,가격지수,매매,83.3665
2013-12-09,울산,남구,가격지수,매매,83.3856
